idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,1464370269248,1464.370269248,LAE,0
1,1464569568224,1464.569568224,MAE,182
2,1464766033440,1464.76603344,SAE,152
3,1464969678464,1464.969678464,MAE,349
4,1465167899648,1465.167899648,LAE,214
5,1465367961376,1465.367961376,MAE,318
6,1465564834560,1465.56483456,SAE,451
7,1465768529952,1465.768529952,MAE,310
8,1465967861952,1465.967861952,LAE,143
9,1466167844352,1466.1678443520002,MAE,300
10,1466364412736,1466.364412736,SAE,319
11,1466568007296,1466.5680072960001,MAE,288
12,1466770465344,1466.770465344,LAE,146
13,1466969507200,1466.9695072000002,MAE,196
14,1467163828576,1467.163828576,SAE,213
15,1467369169408,1467.369169408,MAE,125
16,1467569764416,1467.569764416,LAE,77
17,1467768249280,1467.7682492800002,MAE,195
18,1467963720064,1467.9637200640002,SAE,203
19,1468170666592,1468.170666592,MAE,225
20,1468568136576,1468.5681365760001,MAE,149
21,1468766007776,1468.7660077760002,SAE,139
22,1468970166368,1468.970166368,MAE,199
23,1469368844896,1469.3688448960002,MAE,147
24,1469566209952,1469.566209952,SAE,105
25,1469768206592,1469.768206592,MAE,144
26,1470167870400,1470.1678704,MAE,169
27,1470364762464,1470.364762464,SAE,119
28,1470567840512,1470.5678405120002,MAE,186
29,1470967766816,1470.967766816,MAE,128
30,1471164549056,1471.1645490560002,SAE,111
31,1471371839744,1471.371839744,MAE,152
32,1471767886240,1471.76788624,MAE,140
33,1471964130016,1471.9641300160001,SAE,124
34,1472171927456,1472.171927456,MAE,184
35,1472568166240,1472.56816624,MAE,226
36,1472763873728,1472.7638737280001,SAE,178
37,1472968994144,1472.9689941440001,MAE,177
38,1473368359104,1473.368359104,MAE,184
39,1473563288704,1473.5632887040001,SAE,276
40,1473772856832,1473.7728568320001,MAE,324
41,1474167999840,1474.16799984,MAE,231
42,1474363944192,1474.3639441920002,SAE,256
43,1474570767904,1474.5707679040001,MAE,266
44,1474968295168,1474.9682951680002,MAE,245
45,1475165673824,1475.1656738240001,SAE,149
