idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,2429101993984,2429.1019939840003,MAE,0
1,2429302399328,2429.3023993280003,LAE,0
2,2429501826304,2429.501826304,MAE,360
3,2429702185696,2429.702185696,SAE,201
4,2429901762816,2429.901762816,MAE,182
5,2430301992320,2430.30199232,MAE,24
6,2430501782624,2430.501782624,SAE,55
7,2430701830176,2430.701830176,MAE,50
8,2430903786336,2430.903786336,LAE,0
9,2431104182368,2431.1041823680002,MAE,6
10,2431302266432,2431.302266432,SAE,7
11,2431504661664,2431.504661664,MAE,19
12,2431902133312,2431.902133312,MAE,0
13,2432101882496,2432.101882496,SAE,17
14,2432301713536,2432.301713536,MAE,18
15,2432701918656,2432.701918656,MAE,1
16,2432901948224,2432.901948224,SAE,33
17,2433701851488,2433.701851488,SAE,168
18,2433901700736,2433.9017007360003,MAE,115
19,2434302068480,2434.3020684800003,MAE,143
20,2434501725088,2434.501725088,SAE,145
21,2434702146432,2434.702146432,MAE,144
22,2435103196160,2435.10319616,MAE,157
23,2435301790400,2435.3017904000003,SAE,167
24,2435501640864,2435.5016408640004,MAE,202
25,2435902043136,2435.902043136,MAE,213
26,2436102494080,2436.1024940800003,SAE,521
27,2436301791712,2436.301791712,MAE,223
28,2436701761792,2436.701761792,MAE,260
29,2436901694112,2436.9016941120003,SAE,368
30,2437101923104,2437.101923104,MAE,275
31,2437501691168,2437.501691168,MAE,286
32,2437702400864,2437.702400864,SAE,351
33,2437901876000,2437.9018760000004,MAE,282
34,2438301743744,2438.3017437440003,MAE,286
35,2438501718624,2438.501718624,SAE,246
36,2438701738624,2438.701738624,MAE,295
37,2439102050816,2439.102050816,MAE,371
38,2439300110752,2439.3001107520004,SAE,221
39,2439502461408,2439.5024614080003,MAE,339
40,2439903642624,2439.903642624,MAE,366
41,2440099580544,2440.099580544,SAE,249
42,2440302293088,2440.302293088,MAE,377
43,2440702521088,2440.702521088,MAE,358
44,2440900787456,2440.900787456,SAE,246
45,2441102645760,2441.10264576,MAE,328
46,2441504097056,2441.5040970560003,MAE,363
47,2441699728352,2441.699728352,SAE,220
48,2441903429536,2441.903429536,MAE,372
