landmark_id,first_frame_idx,last_frame_idx,slots_seen,creation_depth_m
0,0,2,MAE,2.182960741232343
1,0,2,MAE,2.1580654788248386
2,0,4,MAE|SAE,2.2588646672481114
3,0,4,MAE,2.2348905521079483
4,0,2,MAE,2.4478186025078505
5,0,4,MAE|SAE,2.24291864637888
6,0,2,MAE,2.2319236898011603
7,0,2,MAE,2.1990088494715914
8,0,2,MAE,2.499454602460296
9,0,2,MAE,2.23449189392255
10,0,2,MAE,2.306094053588741
11,0,2,MAE,2.2070284394719932
12,0,2,MAE,2.2091419254455813
13,0,4,MAE,2.2265173673173035
14,0,2,MAE,2.174854142798624
15,0,2,MAE,2.2276831317178947
16,0,4,MAE,2.3492808357139046
17,0,2,MAE,2.2071533851581244
18,0,2,MAE,2.145361589833884
19,0,2,MAE,2.093375944833676
20,0,4,MAE,2.4017705619548617
21,0,2,MAE,2.218126080630941
22,0,2,MAE,2.2562516465695786
23,0,11,MAE|SAE,8.098000418116486
24,0,4,MAE,2.249144062511807
25,0,2,MAE,2.267231858247737
26,0,2,MAE,2.1477349053392647
27,0,2,MAE,0.8950563071610259
28,0,4,MAE|SAE,1.179650884805648
29,0,3,MAE|SAE,1.022128194196588
30,0,3,MAE|SAE,0.9401111371751611
31,0,2,MAE,0.9094527918294292
32,0,2,MAE,0.8801153153205814
33,0,2,MAE,0.8899209976705852
34,0,4,MAE|SAE,1.0743092407623853
35,0,3,MAE|SAE,1.0025383855935197
36,0,4,MAE,1.2278905333927963
37,0,3,MAE|SAE,0.9357259701302072
38,0,4,MAE|SAE,1.0451600161859536
39,0,2,MAE,0.8822887739548361
40,0,3,MAE|SAE,1.0236369171773843
41,0,4,MAE|SAE,1.1183892630212477
42,0,3,MAE|SAE,1.061428514689127
43,0,3,MAE|SAE,0.9767429573705039
44,0,4,MAE|SAE,1.0422613225878568
45,0,3,MAE|SAE,0.8878973634415301
46,0,2,MAE,0.9678177672987094
47,0,2,MAE,0.93727890933354
48,0,2,MAE,0.9014700787569478
49,0,2,MAE,1.0738342134758603
50,0,4,MAE,1.1461165047237718
51,0,4,MAE|SAE,1.1389972301413136
52,0,3,MAE|SAE,1.0717364356215944
53,0,2,MAE,0.9591825677062347
54,0,4,MAE|SAE,1.2932407349685207
55,0,4,MAE|SAE,1.1456861740111366
56,0,2,MAE,1.151123322004808
57,0,2,MAE,1.2608034817453497
58,0,3,MAE|SAE,1.078395405985157
59,0,4,MAE,1.1823360141517727
60,0,3,MAE|SAE,1.0680783059823564
61,0,3,MAE|SAE,0.9558998997143047
62,0,2,MAE,0.8883220450603813
63,0,2,MAE,1.0693477513995675
64,0,2,MAE,1.2327068768664093
65,0,4,MAE|SAE,1.1375329532177276
66,0,4,MAE|SAE,1.1488024995748847
67,0,2,MAE,1.0428917102479849
