idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,2429101993984,2429.1019939840003,MAE,0
1,2429302399328,2429.3023993280003,LAE,0
2,2429501826304,2429.501826304,MAE,360
3,2429702185696,2429.702185696,SAE,201
4,2429901762816,2429.901762816,MAE,182
5,2430102038976,2430.102038976,LAE,10
6,2430301992320,2430.30199232,MAE,24
7,2430501782624,2430.501782624,SAE,54
8,2430701830176,2430.701830176,MAE,50
9,2430903786336,2430.903786336,LAE,0
10,2431104182368,2431.1041823680002,MAE,7
11,2431302266432,2431.302266432,SAE,7
12,2431504661664,2431.504661664,MAE,19
13,2431702765248,2431.702765248,LAE,0
14,2431902133312,2431.902133312,MAE,0
15,2432101882496,2432.101882496,SAE,17
16,2432301713536,2432.301713536,MAE,18
17,2432501700896,2432.5017008960003,LAE,0
18,2432701918656,2432.701918656,MAE,1
19,2432901948224,2432.901948224,SAE,33
20,2433101658752,2433.1016587520003,MAE,18
21,2433302434240,2433.3024342400004,LAE,0
22,2433501884192,2433.501884192,MAE,41
23,2433701851488,2433.701851488,SAE,174
24,2433901700736,2433.9017007360003,MAE,144
25,2434101948160,2434.10194816,LAE,0
26,2434302068480,2434.3020684800003,MAE,132
27,2434501725088,2434.501725088,SAE,143
28,2434702146432,2434.702146432,MAE,141
29,2434901846112,2434.901846112,LAE,0
30,2435103196160,2435.10319616,MAE,154
31,2435301790400,2435.3017904000003,SAE,161
32,2435501640864,2435.5016408640004,MAE,190
33,2435701800352,2435.701800352,LAE,0
34,2435902043136,2435.902043136,MAE,206
35,2436102494080,2436.1024940800003,SAE,519
36,2436301791712,2436.301791712,MAE,218
37,2436502141344,2436.502141344,LAE,0
38,2436701761792,2436.701761792,MAE,253
39,2436901694112,2436.9016941120003,SAE,369
40,2437101923104,2437.101923104,MAE,278
41,2437301765888,2437.3017658880003,LAE,0
42,2437501691168,2437.501691168,MAE,287
43,2437702400864,2437.702400864,SAE,353
44,2437901876000,2437.9018760000004,MAE,279
45,2438104251392,2438.104251392,LAE,0
46,2438301743744,2438.3017437440003,MAE,279
47,2438501718624,2438.501718624,SAE,244
48,2438701738624,2438.701738624,MAE,297
49,2438902660000,2438.90266,LAE,0
50,2439102050816,2439.102050816,MAE,361
51,2439300110752,2439.3001107520004,SAE,221
52,2439502461408,2439.5024614080003,MAE,336
53,2439701905184,2439.701905184,LAE,0
54,2439903642624,2439.903642624,MAE,354
55,2440099580544,2440.099580544,SAE,245
56,2440302293088,2440.302293088,MAE,380
57,2440501878464,2440.501878464,LAE,0
58,2440702521088,2440.702521088,MAE,355
59,2440900787456,2440.900787456,SAE,246
60,2441102645760,2441.10264576,MAE,330
61,2441303161760,2441.30316176,LAE,0
62,2441504097056,2441.5040970560003,MAE,344
63,2441699728352,2441.699728352,SAE,212
64,2441903429536,2441.903429536,MAE,372
