idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,2915090450496,2915.0904504960004,MAE,0
1,2915152443040,2915.15244304,LAE,232
2,2915215830272,2915.2158302720004,MAE,282
3,2915279630944,2915.279630944,SAE,257
4,2915342017792,2915.342017792,MAE,234
5,2915402280832,2915.402280832,LAE,199
6,2915466163008,2915.466163008,MAE,225
7,2915528856288,2915.528856288,SAE,231
8,2915590356896,2915.5903568960002,MAE,181
9,2915655700544,2915.655700544,LAE,156
10,2915734209184,2915.734209184,MAE,200
11,2915796254528,2915.796254528,SAE,180
12,2915859336544,2915.859336544,MAE,196
13,2915920799136,2915.9207991360004,LAE,120
14,2915983454464,2915.9834544640003,MAE,193
15,2916046845312,2916.046845312,SAE,96
16,2916108005312,2916.1080053120004,MAE,156
17,2916170613728,2916.1706137280003,LAE,132
18,2916233240256,2916.233240256,MAE,183
19,2916298260000,2916.29826,SAE,87
20,2916360417152,2916.360417152,MAE,98
21,2916420277408,2916.4202774080004,LAE,124
22,2916483502272,2916.4835022720004,MAE,147
23,2916547227712,2916.547227712,SAE,115
24,2916608979648,2916.608979648,MAE,140
25,2916672276896,2916.6722768960003,LAE,99
26,2916735336480,2916.73533648,MAE,191
27,2916798321952,2916.798321952,SAE,64
28,2916859043776,2916.8590437760004,MAE,159
29,2916920507712,2916.920507712,LAE,130
30,2916983348192,2916.983348192,MAE,206
31,2917048913280,2917.0489132800003,SAE,80
32,2917108826688,2917.108826688,MAE,156
33,2917170363104,2917.170363104,LAE,90
34,2917233740416,2917.2337404160003,LAE,120
35,2917299075424,2917.299075424,SAE,87
36,2917362382912,2917.362382912,MAE,295
37,2917424010880,2917.42401088,LAE,197
38,2917486873600,2917.4868736000003,MAE,296
39,2917551345184,2917.551345184,SAE,340
40,2917612307200,2917.6123072,MAE,382
41,2917675186048,2917.6751860480003,LAE,356
42,2917736486496,2917.736486496,MAE,473
43,2917798813376,2917.798813376,SAE,384
44,2917861517344,2917.8615173440003,MAE,435
45,2917923790528,2917.923790528,LAE,340
46,2917990419808,2917.9904198080003,MAE,359
47,2918049855488,2918.049855488,SAE,330
48,2918113118816,2918.113118816,MAE,396
49,2918174666848,2918.174666848,LAE,355
50,2918237757440,2918.23775744,MAE,437
51,2918298682144,2918.2986821440004,SAE,351
52,2918364034880,2918.36403488,MAE,333
53,2918425706560,2918.42570656,LAE,362
54,2918487469664,2918.4874696640004,MAE,313
55,2918549874400,2918.5498744,SAE,276
56,2918611990080,2918.6119900800004,MAE,369
57,2918674237920,2918.67423792,LAE,331
58,2918737795104,2918.7377951040003,MAE,360
59,2918802551264,2918.802551264,SAE,298
60,2918861981728,2918.861981728,MAE,349
61,2918929548512,2918.929548512,LAE,323
62,2918986832160,2918.98683216,MAE,386
63,2919049665472,2919.049665472,SAE,304
64,2919113532832,2919.113532832,MAE,358
65,2919175384832,2919.175384832,LAE,313
66,2919237285920,2919.23728592,MAE,381
67,2919299353632,2919.299353632,SAE,318
68,2919361709408,2919.361709408,MAE,400
69,2919426662432,2919.4266624320003,LAE,270
70,2919487684608,2919.487684608,MAE,322
71,2919550757664,2919.5507576640002,SAE,317
72,2919613269632,2919.613269632,MAE,354
73,2919674389792,2919.674389792,LAE,232
74,2919739610304,2919.739610304,MAE,277
75,2919799828096,2919.799828096,SAE,215
76,2919862376352,2919.862376352,MAE,251
77,2919925298304,2919.925298304,LAE,28
78,2919987754688,2919.987754688,MAE,183
79,2920051544832,2920.051544832,SAE,260
80,2920111504256,2920.111504256,MAE,292
81,2920174742688,2920.174742688,LAE,8
82,2920236815424,2920.2368154240003,MAE,217
83,2920299457344,2920.299457344,SAE,249
84,2920362914112,2920.362914112,MAE,282
85,2920424482816,2920.4244828160004,LAE,7
86,2920486712384,2920.4867123840004,MAE,285
87,2920548991392,2920.548991392,SAE,246
88,2920612457152,2920.6124571520004,MAE,334
89,2920674757248,2920.6747572480003,LAE,14
90,2920736685920,2920.73668592,MAE,286
91,2920799345504,2920.799345504,SAE,193
92,2920862916896,2920.862916896,MAE,355
93,2920924718976,2920.9247189760003,LAE,20
