idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,2204508179040,2204.50817904,MAE,0
1,2204634025824,2204.634025824,SAE,184
2,2204758805888,2204.758805888,MAE,176
3,2204882611904,2204.882611904,LAE,149
4,2205008025504,2205.008025504,MAE,162
5,2205134050368,2205.1340503680003,SAE,107
6,2205258071200,2205.2580712000004,MAE,99
7,2205382454208,2205.382454208,LAE,62
8,2205508240256,2205.508240256,MAE,71
9,2205634111744,2205.634111744,SAE,62
10,2205758389664,2205.7583896640003,MAE,57
11,2205882453984,2205.882453984,LAE,43
12,2206009915232,2206.009915232,MAE,54
13,2206136144096,2206.136144096,SAE,55
14,2206258103648,2206.258103648,MAE,69
15,2206382728768,2206.382728768,LAE,65
16,2206508504640,2206.50850464,MAE,98
17,2206634766432,2206.634766432,SAE,62
18,2206758308384,2206.758308384,MAE,27
19,2206882910240,2206.88291024,LAE,63
20,2207008844736,2207.0088447360004,LAE,409
21,2207137219264,2207.137219264,SAE,27
22,2207261330752,2207.261330752,MAE,495
23,2207386563296,2207.386563296,LAE,464
24,2207511313344,2207.511313344,MAE,313
25,2207636259200,2207.6362592,SAE,329
26,2207761709376,2207.761709376,MAE,451
27,2207886733824,2207.886733824,LAE,389
28,2208011805216,2208.011805216,MAE,397
29,2208136232864,2208.1362328640002,SAE,262
30,2208261544864,2208.261544864,MAE,312
31,2208386800960,2208.38680096,LAE,294
32,2208511140384,2208.511140384,MAE,273
33,2208637043424,2208.6370434240002,SAE,287
34,2208761308864,2208.761308864,MAE,324
35,2208886874496,2208.886874496,LAE,257
36,2209011609920,2209.01160992,MAE,251
37,2209136881792,2209.136881792,SAE,247
38,2209261254240,2209.26125424,MAE,315
39,2209386449120,2209.38644912,LAE,288
40,2209511320992,2209.511320992,MAE,229
41,2209636305952,2209.636305952,SAE,198
42,2209761308480,2209.76130848,MAE,268
43,2209886289440,2209.88628944,LAE,333
44,2210011609184,2210.011609184,MAE,239
45,2210136733696,2210.136733696,SAE,197
46,2210261164576,2210.2611645760003,MAE,238
47,2210386280224,2210.386280224,LAE,300
48,2210511599328,2210.511599328,MAE,300
49,2210636318208,2210.636318208,SAE,188
50,2210762877344,2210.762877344,MAE,239
51,2210886512800,2210.8865128,LAE,274
52,2211011303968,2211.011303968,MAE,307
53,2211136258432,2211.136258432,SAE,86
54,2211261194752,2211.261194752,MAE,249
55,2211386267008,2211.3862670080002,LAE,170
56,2211511292672,2211.5112926720003,MAE,184
57,2211636218720,2211.63621872,SAE,21
58,2211761460928,2211.7614609280004,MAE,59
59,2211886620832,2211.886620832,LAE,51
60,2212011528672,2212.011528672,MAE,62
61,2212136937152,2212.136937152,SAE,33
62,2212261315232,2212.261315232,MAE,68
63,2212386502464,2212.386502464,LAE,51
64,2212512275296,2212.512275296,MAE,45
65,2212636447552,2212.636447552,SAE,27
66,2212761157600,2212.7611576,MAE,36
67,2212886256352,2212.886256352,LAE,67
68,2213011333568,2213.0113335680003,SAE,30
69,2213136404160,2213.13640416,SAE,73
70,2213261575968,2213.261575968,SAE,89
71,2213384245888,2213.3842458880004,LAE,36
72,2213511011264,2213.511011264,SAE,100
73,2213636556608,2213.6365566080003,SAE,111
74,2213760790080,2213.7607900800003,MAE,173
75,2213883398208,2213.883398208,LAE,110
76,2214010814336,2214.0108143360003,MAE,152
77,2214136176288,2214.136176288,SAE,89
78,2214260891424,2214.260891424,MAE,80
79,2214383735360,2214.38373536,LAE,125
80,2214510835904,2214.510835904,MAE,155
81,2214636705888,2214.636705888,SAE,84
82,2214760782784,2214.760782784,MAE,122
83,2214883837568,2214.883837568,LAE,113
84,2215011134784,2215.011134784,MAE,100
85,2215136532064,2215.136532064,SAE,83
86,2215260747392,2215.260747392,MAE,118
87,2215383618880,2215.38361888,LAE,117
88,2215510862624,2215.5108626240003,MAE,114
89,2215636262592,2215.636262592,SAE,105
90,2215760810944,2215.7608109440002,MAE,126
91,2215883729408,2215.8837294080004,LAE,103
92,2216011072704,2216.011072704,MAE,145
93,2216136473120,2216.13647312,SAE,116
94,2216260903744,2216.260903744,MAE,145
95,2216383573120,2216.38357312,LAE,130
96,2216511613056,2216.511613056,SAE,87
97,2216636576640,2216.63657664,SAE,87
98,2216761446976,2216.761446976,MAE,171
99,2216886830880,2216.88683088,LAE,104
100,2217011175232,2217.011175232,MAE,172
101,2217136901536,2217.136901536,SAE,99
102,2217262030144,2217.262030144,SAE,198
103,2217383300480,2217.3833004800003,LAE,134
104,2217511494176,2217.5114941760003,SAE,148
105,2217636861120,2217.63686112,SAE,166
106,2217761550432,2217.761550432,SAE,242
107,2217882923296,2217.882923296,LAE,196
108,2218011760736,2218.0117607360003,MAE,312
109,2218136843200,2218.1368432,SAE,160
110,2218261488544,2218.2614885440003,SAE,256
111,2218384457344,2218.384457344,LAE,285
112,2218511200416,2218.511200416,MAE,285
113,2218636313664,2218.636313664,SAE,190
114,2218760989408,2218.760989408,SAE,236
115,2218882703776,2218.882703776,LAE,257
116,2219011504448,2219.0115044480003,MAE,285
117,2219136682784,2219.136682784,SAE,213
118,2219261507904,2219.261507904,SAE,242
119,2219382976608,2219.3829766080003,LAE,273
120,2219510919552,2219.5109195520004,MAE,310
121,2219636455648,2219.6364556480003,SAE,228
122,2219761391040,2219.76139104,SAE,255
123,2219883206592,2219.883206592,LAE,279
124,2220011522080,2220.0115220800003,MAE,276
125,2220136844288,2220.1368442880002,SAE,169
126,2220261747616,2220.2617476160003,SAE,272
127,2220382981888,2220.3829818880004,LAE,285
128,2220511494944,2220.5114949440003,MAE,334
