idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,3180129103392,3180.129103392,LAE,0
1,3180160806272,3180.160806272,MAE,46
2,3180225975808,3180.2259758080004,MAE,362
3,3180257557184,3180.2575571840002,LAE,288
4,3180289325312,3180.289325312,MAE,312
5,3180352902592,3180.352902592,MAE,293
6,3180384074656,3180.3840746560004,LAE,195
7,3180415888832,3180.4158888320003,MAE,241
8,3180478780896,3180.478780896,MAE,230
9,3180510388256,3180.510388256,LAE,205
10,3180543912128,3180.543912128,MAE,282
11,3180609391392,3180.6093913920004,MAE,253
12,3180641065376,3180.6410653760004,LAE,169
13,3180672939296,3180.672939296,MAE,264
14,3180735828096,3180.735828096,MAE,254
15,3180767261856,3180.767261856,LAE,173
16,3180798631168,3180.798631168,MAE,208
17,3180862934528,3180.862934528,MAE,234
18,3180897782080,3180.89778208,LAE,184
19,3180929248000,3180.9292480000004,MAE,221
20,3180992543744,3180.992543744,MAE,210
21,3181024290720,3181.0242907200004,LAE,202
22,3181055880576,3181.055880576,MAE,230
23,3181118461952,3181.1184619520004,MAE,208
24,3181150661120,3181.15066112,LAE,153
25,3181182398880,3181.18239888,MAE,245
26,3181244813568,3181.244813568,MAE,194
27,3181276155872,3181.2761558720003,LAE,167
28,3181307328352,3181.3073283520002,MAE,252
29,3181370208032,3181.3702080320004,MAE,183
30,3181410646880,3181.41064688,LAE,170
31,3181442660960,3181.44266096,MAE,198
32,3181516124768,3181.5161247680003,MAE,195
33,3181547843584,3181.547843584,LAE,162
34,3181579554592,3181.579554592,MAE,184
35,3181644941408,3181.6449414080002,MAE,187
36,3181676284000,3181.676284,LAE,151
37,3181707644448,3181.7076444480003,MAE,187
38,3181770573088,3181.770573088,MAE,162
39,3181802348224,3181.802348224,LAE,182
40,3181833851264,3181.8338512640003,MAE,150
41,3181896204480,3181.89620448,MAE,176
42,3181927594752,3181.927594752,LAE,106
43,3181959052448,3181.9590524480004,MAE,143
44,3182024062496,3182.024062496,MAE,183
45,3182055696224,3182.0556962240003,LAE,122
46,3182087102496,3182.087102496,MAE,173
47,3182150089696,3182.150089696,MAE,153
48,3182181294848,3182.181294848,LAE,140
49,3182212976224,3182.212976224,MAE,147
50,3182276009920,3182.27600992,MAE,140
51,3182307530688,3182.307530688,LAE,121
52,3182339064704,3182.339064704,MAE,138
53,3182402909952,3182.4029099520003,MAE,125
54,3182434439712,3182.4344397120003,LAE,124
55,3182466213760,3182.4662137600003,MAE,140
56,3182529389408,3182.529389408,MAE,102
57,3182560919424,3182.560919424,LAE,130
58,3182592672448,3182.592672448,MAE,117
59,3182656377184,3182.656377184,MAE,155
60,3182687723904,3182.687723904,LAE,155
61,3182719312704,3182.719312704,MAE,165
62,3182783220352,3182.783220352,MAE,138
63,3182814575296,3182.8145752960004,LAE,101
64,3182845975584,3182.8459755840004,MAE,156
65,3182909466496,3182.9094664960003,MAE,166
66,3182952006016,3182.9520060160003,LAE,91
67,3182983541184,3182.9835411840004,MAE,179
68,3183055656512,3183.055656512,MAE,184
69,3183087288928,3183.0872889280004,LAE,113
70,3183118858688,3183.1188586880003,MAE,223
71,3183183101376,3183.183101376,MAE,209
72,3183217049760,3183.21704976,LAE,154
73,3183248541696,3183.2485416960003,MAE,212
74,3183311597248,3183.311597248,MAE,249
75,3183343300192,3183.3433001920002,LAE,139
76,3183374674496,3183.3746744960004,MAE,185
77,3183437544768,3183.4375447680004,MAE,201
78,3183469308000,3183.469308,LAE,104
79,3183500826016,3183.5008260160002,MAE,180
80,3183563899072,3183.5638990720004,MAE,189
81,3183595253792,3183.595253792,LAE,126
82,3183626756064,3183.6267560640003,MAE,242
83,3183690344512,3183.690344512,MAE,256
84,3183722413792,3183.722413792,LAE,132
85,3183754364128,3183.7543641280004,MAE,177
86,3183817110624,3183.817110624,MAE,282
87,3183849036320,3183.8490363200003,LAE,73
88,3183880537120,3183.88053712,MAE,278
89,3183943389696,3183.9433896960004,MAE,389
90,3183974732992,3183.974732992,LAE,92
91,3184006029760,3184.0060297600003,MAE,340
92,3184069014784,3184.069014784,MAE,422
93,3184100786752,3184.100786752,LAE,87
94,3184132742240,3184.1327422400004,MAE,401
95,3184196073632,3184.196073632,MAE,363
96,3184227864032,3184.227864032,LAE,117
97,3184259539072,3184.2595390720003,MAE,297
98,3184322777056,3184.322777056,MAE,330
