landmark_id,first_frame_idx,last_frame_idx,slots_seen,creation_depth_m
0,0,28,LAE|MAE|SAE,5.354455999764728
1,0,19,LAE|MAE|SAE,3.646713923277258
2,0,30,LAE|MAE|SAE,5.417058501433436
3,0,7,MAE|SAE,1.1781251033981779
4,0,27,LAE|MAE|SAE,5.510522310942665
5,0,4,MAE|SAE,33.85274628157376
6,0,23,LAE|MAE|SAE,10.994779433067666
7,0,12,MAE|SAE,9.486107898111761
8,0,25,MAE|SAE,8.261621052536157
9,0,18,LAE|MAE|SAE,6.977519322125582
10,0,5,MAE|SAE,1.0158708941437227
11,0,1,MAE|SAE,8.170328228753231
12,0,7,LAE|MAE|SAE,1.8616500702036476
13,0,24,LAE|MAE|SAE,7.495682491179116
14,0,7,LAE|MAE|SAE,6.463106928243892
15,0,12,LAE|MAE|SAE,3.7308552170900215
16,0,25,LAE|MAE|SAE,6.154986455940521
17,0,21,MAE|SAE,5.411531606738921
18,0,10,LAE|MAE|SAE,7.31965988285208
19,0,7,LAE|MAE|SAE,10.599480695927625
20,0,22,LAE|MAE|SAE,7.656262105821229
21,0,9,LAE|MAE|SAE,4.671508187611241
22,0,11,LAE|MAE|SAE,1.6788758575717058
23,0,24,LAE|MAE|SAE,7.125505017383882
24,0,25,LAE|MAE|SAE,5.7941392317355245
25,0,4,MAE|SAE,1.2038221385237216
26,0,11,LAE|MAE|SAE,4.054100338286836
27,0,7,LAE|MAE|SAE,20.541217019759372
28,0,23,LAE|MAE|SAE,6.224856332770091
29,0,7,LAE|MAE|SAE,0.8247676000855795
30,0,1,MAE|SAE,9.35330182335268
31,0,9,LAE|MAE|SAE,9.821696780488205
32,0,23,LAE|MAE|SAE,6.583700514722263
33,0,1,MAE|SAE,0.5845411091795292
34,0,9,LAE|MAE|SAE,5.5737739343636825
35,0,7,MAE|SAE,10.171129716524689
36,0,3,LAE|MAE|SAE,8.738931549942347
37,0,8,MAE|SAE,1.7772724247363003
38,0,1,MAE|SAE,1.2419080160062959
39,0,24,MAE|SAE,10.569345210032312
40,0,22,LAE|MAE|SAE,6.652290875058368
41,0,1,MAE|SAE,6.831082673655187
42,0,8,LAE|MAE|SAE,9.579474755438941
43,0,9,LAE|MAE|SAE,12.629025199969064
44,0,2,LAE|MAE|SAE,7.593215274479449
45,0,15,LAE|MAE|SAE,5.03820400564986
46,0,6,LAE|MAE|SAE,7.382904799985921
47,0,8,MAE|SAE,12.807406320735486
48,0,4,MAE|SAE,4.2088568483152375
49,0,15,LAE|MAE|SAE,9.148283536584689
50,0,1,MAE|SAE,6.534268054386566
51,0,28,LAE|MAE|SAE,5.510139807638015
52,0,11,LAE|MAE|SAE,6.307947978499926
53,0,9,LAE|MAE|SAE,8.313031301829213
54,0,1,MAE|SAE,8.757643728931399
55,0,5,MAE|SAE,17.01575847505715
56,0,6,LAE|MAE|SAE,6.595501658386789
57,0,23,LAE|MAE|SAE,5.615037211656519
58,0,19,LAE|MAE|SAE,5.729254911728298
59,0,5,MAE|SAE,1.6944886241392596
60,0,1,MAE|SAE,0.9535063322318548
61,0,10,LAE|MAE|SAE,0.9929021031420178
62,0,5,MAE|SAE,0.6719588763752986
63,0,9,LAE|MAE|SAE,13.972839614409555
64,0,12,MAE|SAE,3.936716870711498
65,0,8,LAE|MAE|SAE,5.325740847538633
66,0,10,LAE|MAE|SAE,3.848287329655307
67,0,5,MAE|SAE,12.930873150493595
68,0,3,MAE|SAE,0.8113553444521964
69,0,32,LAE|MAE|SAE,6.166266837651943
70,0,12,LAE|MAE|SAE,4.408725428372401
71,0,1,MAE|SAE,0.7615234974382357
72,0,36,LAE|MAE|SAE,5.506166054858994
73,0,8,LAE|MAE|SAE,7.340441132362741
74,0,9,MAE|SAE,10.284148647953653
75,0,23,LAE|MAE|SAE,5.169628451770727
76,0,1,MAE|SAE,6.061884288300133
77,0,5,MAE|SAE,3.32699190444757
78,1,9,LAE|MAE|SAE,9.343354748809519
79,1,32,LAE|MAE|SAE,7.25303492628865
80,1,8,LAE|MAE|SAE,9.383021095152404
81,1,14,LAE|MAE,4.897759991837494
82,1,6,LAE|MAE,4.130493502669944
83,1,9,LAE|MAE,8.738201670549333
84,1,26,LAE|MAE,5.4473665261868
85,1,38,LAE|MAE|SAE,6.067786863019949
86,1,39,LAE|MAE|SAE,5.608951454338695
87,1,14,LAE|MAE,6.359082524598453
88,1,10,LAE|MAE,11.231701658937597
89,1,10,LAE|MAE,4.993464800585117
90,1,13,LAE|MAE,3.701978259542503
91,1,10,LAE|MAE,5.409383457905293
92,1,13,LAE|MAE|SAE,4.122334104246117
93,1,15,LAE|MAE,6.720675550059417
94,1,13,LAE|MAE,4.463926286051311
95,1,14,LAE|MAE,5.625129824316718
96,1,14,LAE|MAE,11.91695080470598
97,1,22,LAE|MAE|SAE,11.225146932440046
98,1,13,LAE|MAE,10.096442232659879
99,1,10,LAE|MAE,5.322396659870615
100,1,14,LAE|MAE,6.719434580598459
101,1,23,LAE|MAE|SAE,6.894084486904823
102,1,2,LAE|MAE,16.268942143843976
103,1,7,LAE|MAE,9.528663512284849
104,1,9,LAE|MAE,27.765639449280194
105,1,9,LAE|MAE|SAE,10.259234149554183
106,1,14,LAE|MAE,6.395200139590636
107,1,13,LAE|MAE,1.4034097621905781
108,1,8,LAE|MAE|SAE,22.990752642790717
109,1,14,LAE|MAE|SAE,4.553591723300267
110,1,7,LAE|MAE,4.347337214538163
111,1,13,LAE|MAE|SAE,9.201521103807185
112,1,5,LAE|MAE,5.991604440589072
113,1,9,LAE|MAE,4.38780451964896
114,1,6,LAE|MAE,6.918505216679382
115,1,6,LAE|MAE,6.272129781873553
116,1,14,LAE|MAE,21.698556160642948
117,1,6,LAE|MAE,3.6152576629355186
118,1,9,LAE|MAE|SAE,1.8577826169426084
119,1,6,LAE|MAE,0.7618133192141153
120,1,11,LAE|MAE,5.392932329637971
121,1,22,LAE|MAE,5.047000404554541
122,1,11,LAE|MAE,1.2655799111339692
123,1,26,LAE|MAE,10.724648719581486
124,1,10,LAE|MAE|SAE,11.175320587587358
125,1,14,LAE|MAE|SAE,22.775344064292156
126,1,2,LAE|MAE,0.9612231409566647
127,1,18,LAE|MAE,9.581762902202364
128,1,14,LAE|MAE,19.388776852786975
129,1,7,LAE|MAE,37.848278565462465
130,1,10,LAE|MAE,4.177803168087318
131,1,3,LAE|MAE,0.6532007489750695
132,1,15,LAE|MAE,4.1909542322149616
133,1,16,LAE|MAE|SAE,5.214311066447214
134,1,18,LAE|MAE,6.299443605509744
135,1,10,LAE|MAE|SAE,4.192199117767876
136,1,10,LAE|MAE,17.635020883973763
137,1,22,LAE|MAE,10.44780075823376
138,1,26,LAE|MAE|SAE,35.52882955980487
139,1,3,LAE|MAE,4.067149968961286
140,1,26,LAE|MAE,7.513167107847561
141,1,22,LAE|MAE,7.844340110620244
142,1,2,LAE|MAE,31.970970859761454
143,1,18,LAE|MAE,6.138229282210964
144,1,6,LAE|MAE,4.157082774479053
145,1,27,LAE|MAE|SAE,6.899748355379489
146,1,14,LAE|MAE,11.639666914039712
147,1,29,LAE|MAE|SAE,7.509194725272263
148,1,3,LAE|MAE,1.0305317057488725
149,1,14,LAE|MAE|SAE,5.643177539402514
150,1,10,LAE|MAE,5.7585846897757635
151,1,9,LAE|MAE,9.393629941912726
152,1,10,LAE|MAE,4.117255933711737
153,1,5,LAE|MAE,4.119611824769404
154,1,32,LAE|MAE|SAE,5.814822404561868
155,1,3,LAE|MAE,7.216665017631204
156,1,14,LAE|MAE,4.3218614722747315
157,1,10,LAE|MAE,12.391783225210082
158,1,6,LAE|MAE,5.554816157132344
159,1,6,LAE|MAE,1.5784191398837213
160,1,2,LAE|MAE,4.210203714374992
161,1,3,LAE|MAE,5.8052093940084415
162,1,11,LAE|MAE|SAE,6.241695855722998
163,1,9,LAE|MAE|SAE,5.778164089697438
164,1,14,LAE|MAE,7.415557224645154
165,1,10,LAE|MAE,9.789158577482487
166,1,20,LAE|MAE|SAE,5.3613190919547336
167,1,6,LAE|MAE,3.6113854801528147
168,1,15,LAE|MAE|SAE,4.862217853947738
169,1,3,LAE|MAE,9.801507837417935
170,1,9,LAE|MAE,3.8587477602564224
171,1,2,LAE|MAE,7.0613255781048805
172,1,13,LAE|MAE,1.6520437964217687
173,1,11,LAE|MAE,5.73442535035834
174,1,7,LAE|MAE,6.120033045072665
175,1,6,LAE|MAE,2.313146677550099
176,1,7,LAE|MAE,5.5328327108244935
177,1,3,LAE|MAE,5.078495028957598
178,1,5,LAE|MAE,1.7243010182590903
179,1,6,LAE|MAE,3.9139042820736423
180,1,14,LAE|MAE,2.0975644263599187
181,1,2,LAE|MAE,11.169053436740263
182,1,34,LAE|MAE|SAE,7.372394677659366
183,1,6,LAE|MAE,11.608463699386215
184,1,20,LAE|MAE|SAE,5.3800640736732825
185,1,6,LAE|MAE,3.3259961074589977
186,1,6,LAE|MAE,5.578829308848534
187,1,2,LAE|MAE,5.002544693401508
188,1,15,LAE|MAE|SAE,5.618278598885972
189,1,23,LAE|MAE,5.755291246470426
190,1,22,LAE|MAE,5.473489765161659
191,1,6,LAE|MAE,10.925325655925475
192,1,10,LAE|MAE|SAE,6.707594523815016
193,1,6,LAE|MAE,8.007830510182803
194,1,14,LAE|MAE,6.089108726941747
195,1,2,LAE|MAE,5.944721419622434
196,0,15,MAE|SAE,7.1121797748353135
197,0,3,MAE|SAE,0.6323541650288858
198,0,5,MAE|SAE,0.7380613378474843
199,0,7,MAE|SAE,6.076328303328246
200,0,3,MAE|SAE,23.256532107595426
201,0,7,MAE|SAE,14.346597096852417
202,0,11,LAE|MAE|SAE,1.8862166510773826
203,0,13,MAE|SAE,5.815533438024252
204,0,5,MAE|SAE,2.0008625777437956
205,0,4,MAE|SAE,1.581445131576854
206,0,30,LAE|MAE|SAE,6.092112646591238
207,0,3,MAE|SAE,0.6572616060253977
208,0,3,MAE|SAE,10.068179699161332
209,0,20,LAE|MAE|SAE,5.471614955979686
210,0,3,MAE|SAE,5.593946914259055
211,1,17,MAE,11.081982447711404
212,1,18,LAE|MAE,4.033053373931353
