landmark_id,first_frame_idx,last_frame_idx,slots_seen,creation_depth_m
0,0,23,LAE|MAE|SAE,21.75568656774018
1,0,1,SAE,13.690092086890239
2,0,1,SAE,11.340741778804635
3,0,1,SAE,1.6444217197468538
4,0,1,SAE,3.0507634819511367
5,0,1,SAE,10.684828411230637
6,0,4,SAE,4.581182005033551
7,0,1,SAE,14.208692566642515
8,0,5,MAE|SAE,2.1702910782686367
9,0,1,SAE,0.8928763065304796
10,0,1,SAE,0.8928780178805072
11,0,3,MAE|SAE,18.07986715954008
12,0,1,SAE,1.2380418416009864
13,0,3,MAE|SAE,1.3819973825666532
14,0,1,SAE,10.507990017411116
15,0,4,MAE|SAE,16.965588910188888
16,0,5,SAE,14.371671989618918
17,0,7,MAE|SAE,12.376268106056408
18,0,4,MAE|SAE,4.683067458870154
19,0,5,MAE|SAE,10.884587008386358
20,0,1,SAE,25.029999720375358
21,0,3,MAE|SAE,18.520406719052314
22,0,4,SAE,15.25095313021947
23,0,1,SAE,2.0982495425912844
24,0,1,SAE,14.474642656780789
25,0,1,SAE,8.838628463301456
26,0,1,SAE,1.521751088616739
27,0,1,SAE,12.338582917558046
28,0,4,MAE|SAE,2.4229429398378475
29,0,5,MAE|SAE,16.166016554920862
30,0,9,LAE|MAE|SAE,4.788133173586153
31,0,1,SAE,1.5870632041793826
32,0,4,MAE|SAE,18.650902263961623
33,0,3,MAE|SAE,8.11140995979675
34,0,1,SAE,4.497740298598528
35,0,1,SAE,2.3070971150326307
36,0,1,SAE,14.246068041106602
37,0,1,SAE,14.575843665168103
38,0,13,MAE|SAE,32.63983923018561
39,0,1,SAE,1.3203605537983625
40,0,3,MAE|SAE,16.797494084028727
41,0,1,SAE,1.5913825622366844
42,0,1,SAE,3.7817793454069255
43,0,1,SAE,18.47064816333248
44,0,5,MAE|SAE,8.012332654335626
45,0,1,SAE,11.7520020001069
46,0,1,SAE,1.2604460008123861
47,0,1,SAE,16.09461592513256
48,0,17,MAE|SAE,14.757928262677167
49,0,1,SAE,14.399248631804156
50,0,1,SAE,20.067298127684296
51,0,14,LAE|MAE|SAE,19.422635791500728
52,0,21,LAE|MAE|SAE,18.696226292269372
53,0,9,MAE|SAE,21.30098832299579
54,0,3,MAE|SAE,2.8939678318463167
55,0,3,MAE|SAE,5.2678434445237485
56,0,1,SAE,10.569202723422109
57,0,14,LAE|MAE|SAE,19.31939643002286
58,0,1,SAE,1.4238119422609463
59,0,12,LAE|MAE|SAE,17.250965227390633
60,0,1,SAE,0.9173505453149308
61,0,3,MAE|SAE,12.753183337239426
62,0,3,MAE|SAE,9.628065588128614
63,0,1,SAE,1.901371056950897
64,0,1,SAE,4.477957831983334
65,0,3,MAE|SAE,4.382056340396905
66,0,1,SAE,18.27130748653174
67,0,1,SAE,1.2902406398322739
68,0,1,SAE,1.060693606754153
69,0,1,SAE,1.419522622186644
70,0,1,SAE,1.6937569892513458
71,0,1,SAE,17.810011784440118
72,0,1,SAE,2.492814729411005
73,0,3,MAE|SAE,15.762137693933667
74,0,1,SAE,1.414761774613273
75,0,1,SAE,1.5919694602743308
76,0,5,MAE|SAE,10.565563166280016
77,0,1,SAE,1.2470608870311526
78,0,1,SAE,18.399231364286145
79,0,1,SAE,2.1218096564750897
80,0,1,SAE,10.567872731511423
81,0,3,MAE|SAE,19.55892193409357
82,0,1,SAE,11.188925675890825
83,0,1,SAE,1.3936633817924313
84,0,4,SAE,19.91286436352749
85,0,1,SAE,1.5029641137512533
86,0,1,SAE,1.0321138161245658
87,0,15,LAE|MAE|SAE,15.37322843837537
88,0,37,LAE|MAE|SAE,30.79066240750045
89,0,1,SAE,7.3154380219723185
90,0,12,MAE|SAE,19.614386055011458
91,0,1,SAE,12.701798930528055
92,0,1,SAE,16.26107544684402
93,0,7,MAE|SAE,54.47806320977597
94,0,13,MAE|SAE,22.245101407490417
95,0,5,SAE,13.00195714413501
96,0,1,SAE,15.84031757654531
97,0,1,SAE,14.652443010751668
98,0,3,MAE|SAE,12.450093879135864
99,0,1,SAE,5.302202139971197
100,0,1,SAE,20.047259773286047
