landmark_id,first_frame_idx,last_frame_idx,slots_seen,creation_depth_m
0,0,5,LAE,1.58933160668868
1,0,26,LAE,6.494383672152482
2,0,2,LAE,6.978503927238414
3,0,5,LAE,6.44853486374417
4,0,2,LAE,11.093405982415643
5,0,2,LAE,4.1298614617851
6,0,2,LAE,7.589696127990856
7,0,5,LAE,1.7200298533634912
8,0,2,LAE,5.6574108037536055
9,0,5,LAE,6.851092287413602
10,0,4,LAE,1.762012606996602
11,0,4,LAE,4.3280749392676965
12,0,2,LAE,7.575410307012144
13,0,20,LAE,5.677330396768354
14,0,11,LAE,5.2107202963338
15,0,2,LAE,0.8942635822460638
16,0,5,LAE,7.539976239495912
17,0,2,LAE,0.7168809709726122
18,0,1,LAE,10.75996324100846
19,0,4,LAE,22.80672085736732
20,0,1,LAE,1.152652383704831
21,0,3,LAE,1.3393800801463924
22,0,8,LAE,2.4629178112177295
23,0,8,LAE,5.858984129087257
24,0,3,LAE,6.012250396436816
25,0,1,LAE,0.7394360061896891
26,0,1,LAE,0.6387316652643734
27,0,8,LAE,5.633952619998288
28,0,6,LAE|MAE,14.594713955437193
29,0,1,LAE,7.863352088185248
30,0,4,LAE,0.7609036971748243
31,0,1,LAE,0.7937734596465024
32,0,2,LAE,0.7718648504756997
33,0,1,LAE,7.966656177252513
34,0,3,LAE,4.569759629840942
35,0,4,LAE,0.8766269482785797
36,0,2,LAE,13.642428260611597
37,0,11,LAE,2.325473852632764
38,0,2,LAE,1.0125486492730895
39,0,5,LAE,1.9251321697767596
40,0,1,LAE,1.9924703486436426
41,0,1,LAE,0.9604100977093555
42,0,1,LAE,7.6558036962869
43,0,3,LAE,1.3491086532016743
44,0,5,LAE,7.115416874184232
45,0,3,LAE,11.710401441195351
46,0,3,LAE,1.2717689898411804
47,0,2,LAE,0.6849901864908425
48,0,11,LAE,5.666710168649774
49,0,4,LAE,6.074887012249282
50,0,4,LAE,0.9443063761111108
51,0,8,LAE,1.5793785869883954
52,0,2,LAE,7.406327228371344
53,0,2,LAE,0.7059429266797632
54,0,1,LAE,1.188311390259428
55,0,1,LAE,9.10525637349349
56,0,1,LAE,12.114760477855794
57,0,11,LAE,2.435028131081272
58,0,4,LAE,0.9194134535759861
59,0,1,LAE,0.8668480723906032
60,0,8,LAE,1.3003197532078439
61,0,5,LAE,4.467903615731186
62,0,8,LAE,4.4313654015281845
63,0,2,LAE,12.740697270865319
64,0,2,LAE,0.9336750869506081
65,0,4,LAE,5.970135291204115
66,0,3,LAE,0.7008258430015839
67,0,2,LAE,7.218982335256443
68,0,2,LAE,5.4733685594543
69,0,1,LAE,22.34252177676439
70,0,5,LAE,7.378264437821278
71,0,2,LAE,6.888828151451326
72,0,3,LAE,8.445441187898084
73,0,3,LAE,9.15693199934425
74,0,8,LAE|MAE,11.266018091931146
75,0,2,LAE,0.7428349680939
76,0,5,LAE,4.2055493454887785
77,0,1,LAE,0.7503896079117942
78,0,8,LAE,1.2926874366613932
79,0,1,LAE,6.4133912369346735
80,0,5,LAE,1.4180836227138338
81,0,5,LAE,2.5868939638844313
82,0,1,LAE,0.6931250908163645
83,0,1,LAE,5.77483265488691
84,0,1,LAE,4.562668960504659
85,0,3,LAE,8.401758772484408
86,0,2,LAE,1.7815954465090804
87,0,2,LAE,5.24227632258987
88,0,4,LAE,0.9508951022468598
89,0,1,LAE,4.46443344248428
90,0,2,LAE,6.157800197135364
91,0,2,LAE,3.4252517335957697
92,0,2,LAE,1.4424857316512447
93,0,4,LAE,1.3183040130125985
94,0,1,LAE,1.2126906305029639
95,0,4,LAE,6.52485829174652
96,0,1,LAE,5.412870669535199
97,0,1,LAE,8.598283985584587
98,0,5,LAE,1.9646685381374953
99,0,1,LAE,0.7743518285711554
100,0,1,LAE,8.944160505209913
101,0,2,LAE,5.59506347648326
102,0,2,LAE,0.7843951834029635
103,0,1,LAE,4.734773136328309
104,0,1,LAE,0.6081758935926984
105,0,2,LAE,8.171984505521914
106,0,1,LAE,0.8415486915415894
107,0,58,LAE|MAE,11.342354213395843
108,0,22,LAE|MAE,9.024076440886406
109,0,11,LAE,4.891209265965847
110,0,1,LAE,9.082985845775402
111,0,2,LAE,7.5113093370497115
112,0,1,LAE,1.1627056920995336
113,0,4,LAE,1.3050884154428584
114,0,28,LAE|MAE,10.720250014274002
115,0,2,LAE,1.5800912309919584
116,0,1,LAE,0.8272527288174569
117,0,1,LAE,0.823715750134117
118,0,2,LAE,0.722509851312362
119,0,5,LAE,5.627726698158194
120,0,1,LAE,1.0070083861958512
