idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,519407393984,519.407393984,MAE,0
1,519658155072,519.658155072,LAE,320
2,519907350752,519.9073507520001,MAE,327
3,520159489632,520.159489632,SAE,198
4,520407014112,520.4070141120001,MAE,218
5,520655869280,520.65586928,LAE,198
6,520907514976,520.907514976,MAE,158
7,521159597760,521.15959776,SAE,108
8,521407580448,521.407580448,MAE,120
9,521655414912,521.6554149120001,LAE,142
10,521907198976,521.907198976,MAE,93
11,522159197472,522.1591974720001,SAE,67
12,522407363232,522.4073632320001,MAE,108
13,522656227584,522.656227584,LAE,84
14,522907509632,522.907509632,MAE,89
15,523159543392,523.159543392,SAE,73
16,523407428480,523.40742848,MAE,118
17,523655898592,523.6558985920001,LAE,128
18,523907764032,523.907764032,MAE,90
19,524159955264,524.159955264,SAE,46
20,524407523488,524.407523488,MAE,81
21,524655740416,524.6557404160001,LAE,51
22,524908596320,524.90859632,MAE,53
23,525159161664,525.1591616640001,SAE,131
24,525408311328,525.4083113280001,MAE,182
25,525655820416,525.655820416,LAE,118
26,525910164224,525.910164224,MAE,133
27,526159569888,526.1595698880001,SAE,159
28,526409410432,526.4094104320001,MAE,247
29,526658649152,526.6586491520001,LAE,242
30,526909722624,526.909722624,MAE,137
31,527159144128,527.159144128,SAE,187
32,527409271456,527.409271456,MAE,187
33,527658489664,527.6584896640001,LAE,214
34,527909307680,527.90930768,MAE,84
35,528159732992,528.159732992,SAE,66
36,528410291744,528.410291744,MAE,134
37,528658868832,528.658868832,LAE,251
38,528909640224,528.909640224,MAE,75
39,529159535296,529.1595352960001,SAE,12
40,529410451936,529.4104519360001,MAE,81
41,529658601856,529.658601856,LAE,84
42,529909365824,529.909365824,MAE,52
43,530409561824,530.409561824,MAE,154
44,530658295744,530.658295744,LAE,103
45,530909630624,530.909630624,SAE,60
46,531159290592,531.159290592,SAE,93
47,531408838368,531.408838368,MAE,72
48,531656875104,531.656875104,LAE,54
49,531908287200,531.9082872,MAE,112
50,532159520640,532.15952064,SAE,72
51,532407550560,532.40755056,MAE,146
52,532656176192,532.6561761920001,LAE,153
53,532907457888,532.9074578880001,MAE,159
54,533159185952,533.159185952,SAE,78
55,533407298688,533.4072986880001,MAE,110
56,533656066016,533.6560660160001,LAE,147
57,533907504576,533.9075045760001,MAE,106
58,534159502432,534.1595024320001,SAE,66
59,534407560992,534.4075609920001,SAE,82
60,534655979104,534.655979104,MAE,128
61,534906092000,534.9060920000001,MAE,174
62,535156297216,535.156297216,SAE,180
