idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,519407393984,519.407393984,MAE,0
1,519658155072,519.658155072,LAE,302
2,519907350752,519.9073507520001,MAE,313
3,520159489632,520.159489632,SAE,188
4,520407014112,520.4070141120001,MAE,211
5,520655869280,520.65586928,LAE,191
6,520907514976,520.907514976,MAE,149
7,521159597760,521.15959776,SAE,102
8,521407580448,521.407580448,MAE,107
9,521655414912,521.6554149120001,LAE,130
10,521907198976,521.907198976,MAE,88
11,522159197472,522.1591974720001,SAE,65
12,522407363232,522.4073632320001,MAE,102
13,522656227584,522.656227584,LAE,80
14,522907509632,522.907509632,MAE,80
15,523159543392,523.159543392,SAE,73
16,523407428480,523.40742848,MAE,116
17,523655898592,523.6558985920001,LAE,126
18,523907764032,523.907764032,MAE,82
19,524159955264,524.159955264,SAE,42
20,524407523488,524.407523488,MAE,80
21,524655740416,524.6557404160001,LAE,47
22,524908596320,524.90859632,MAE,52
23,525159161664,525.1591616640001,SAE,129
24,525408311328,525.4083113280001,MAE,179
25,525655820416,525.655820416,LAE,113
26,525910164224,525.910164224,MAE,128
27,526159569888,526.1595698880001,SAE,158
28,526409410432,526.4094104320001,MAE,247
29,526658649152,526.6586491520001,LAE,242
30,526909722624,526.909722624,MAE,137
31,527159144128,527.159144128,SAE,187
32,527409271456,527.409271456,MAE,187
33,527658489664,527.6584896640001,LAE,214
34,527909307680,527.90930768,MAE,84
35,528159732992,528.159732992,SAE,66
36,528410291744,528.410291744,MAE,134
37,528658868832,528.658868832,LAE,245
38,528909640224,528.909640224,MAE,75
39,529159535296,529.1595352960001,SAE,12
40,529410451936,529.4104519360001,MAE,81
41,529658601856,529.658601856,LAE,75
42,529909365824,529.909365824,MAE,50
43,530409561824,530.409561824,MAE,145
44,530658295744,530.658295744,LAE,96
45,530909630624,530.909630624,SAE,55
46,531159290592,531.159290592,SAE,83
47,531408838368,531.408838368,MAE,65
48,531656875104,531.656875104,LAE,48
49,531908287200,531.9082872,MAE,109
50,532159520640,532.15952064,SAE,65
51,532407550560,532.40755056,MAE,136
52,532656176192,532.6561761920001,LAE,145
53,532907457888,532.9074578880001,MAE,154
54,533159185952,533.159185952,SAE,70
55,533407298688,533.4072986880001,MAE,112
56,533656066016,533.6560660160001,LAE,141
57,533907504576,533.9075045760001,MAE,99
58,534159502432,534.1595024320001,SAE,63
59,534407560992,534.4075609920001,SAE,76
60,534655979104,534.655979104,MAE,123
61,534906092000,534.9060920000001,MAE,158
62,535156297216,535.156297216,SAE,171
