landmark_id,first_frame_idx,last_frame_idx,slots_seen,creation_depth_m
0,0,5,LAE|MAE|SAE,19.85450456274736
1,0,4,LAE|MAE|SAE,4.220520285887998
2,0,4,LAE|MAE,18.94108003069411
3,0,3,LAE|MAE|SAE,4.191465078374951
4,0,37,LAE|MAE|SAE,40.27135334126565
5,0,3,LAE|MAE|SAE,13.541620020513921
6,0,2,LAE|MAE,1.7631123379269371
7,0,1,LAE|MAE,12.12673839080317
8,0,2,LAE|MAE,16.716672030020547
9,0,2,LAE|MAE,1.4809288833422758
10,0,5,LAE|MAE,11.837434070681415
11,0,2,LAE|MAE,1.650782161747073
12,0,1,LAE|MAE,11.470504895597903
13,0,1,LAE|MAE,23.108722410294593
14,0,5,LAE|MAE,15.738519770356106
15,0,4,LAE|MAE|SAE,4.167085903262636
16,0,8,LAE|MAE|SAE,4.295037659578997
17,0,3,LAE|MAE|SAE,10.953644135968306
18,0,1,LAE|MAE,12.354027349309169
19,0,4,LAE|MAE,3.4032380893359475
20,0,17,LAE|MAE|SAE,16.54787936303732
21,0,2,LAE|MAE,1.8085408472789744
22,0,5,LAE|MAE,11.837237193304023
23,0,5,LAE|MAE,17.033173111807052
24,0,4,LAE|MAE|SAE,4.16036574324907
25,0,4,LAE|MAE,10.070768416964166
26,0,6,LAE|MAE|SAE,10.501854003909227
27,0,2,LAE|MAE,19.16166871840485
28,0,1,LAE|MAE,1.9211621097456932
29,0,2,LAE|MAE,14.472169365948622
30,0,7,LAE|MAE|SAE,14.663793896799456
31,0,5,LAE|MAE,11.870232192231814
32,0,3,LAE|MAE|SAE,20.09235101270823
33,0,1,LAE|MAE,22.879541316805636
34,0,3,LAE|MAE|SAE,10.511650344330851
35,0,5,LAE|MAE,11.649870772054637
36,0,6,LAE|MAE|SAE,18.310056060639372
37,0,1,LAE|MAE,1.6486027154557783
38,0,1,LAE|MAE,14.395218553662861
39,0,2,LAE|MAE,29.50101664104989
40,0,2,LAE|MAE,1.8751543773958905
41,0,8,LAE|MAE,18.109079271516155
42,0,2,LAE|MAE,1.7130612683733009
43,0,1,LAE|MAE,11.04738857191369
44,0,5,LAE|MAE|SAE,13.81567982623887
45,0,10,LAE|MAE|SAE,10.597946640157188
46,0,1,LAE|MAE,30.937835391435087
47,0,6,LAE|MAE,28.11811169984303
48,0,2,LAE|MAE,16.175922904159055
49,0,2,LAE|MAE,18.926675201199824
50,0,1,LAE|MAE,7.907283996184955
51,0,2,LAE|MAE,17.624169425058085
52,0,4,LAE|MAE|SAE,3.422172702685145
53,0,6,LAE|MAE,18.749934648778613
54,0,2,LAE|MAE,12.628820497449086
55,0,2,LAE|MAE,19.728416560448636
56,0,3,LAE|MAE|SAE,2.348471542511399
57,0,12,LAE|MAE|SAE,5.112420887838849
58,0,3,LAE|MAE|SAE,16.286294858562474
59,0,4,LAE|MAE,11.382493873569956
60,0,1,LAE|MAE,23.36295735711984
61,0,4,LAE|MAE,12.710423640218297
62,0,2,LAE|MAE,1.6278430872088656
63,0,1,LAE|MAE,23.756102328036373
64,0,3,LAE|MAE|SAE,1.5710815303318804
65,0,1,LAE|MAE,3.641854332120685
66,0,5,LAE|MAE|SAE,3.4861480966267786
67,0,4,LAE|MAE|SAE,1.6668026664119373
68,0,4,LAE|MAE|SAE,13.421004028155078
69,0,3,LAE|MAE|SAE,1.7611739232644479
70,0,14,LAE|MAE|SAE,16.68305734699183
71,0,1,LAE|MAE,14.427701994615742
72,0,1,LAE|MAE,11.0502813635756
73,0,10,LAE|MAE|SAE,16.59641993138595
74,0,1,LAE|MAE,9.42671133277821
75,0,1,LAE|MAE,14.295414139196524
76,0,2,LAE|MAE,0.813769791827337
77,0,5,LAE|MAE,28.53896945100987
78,0,1,LAE|MAE,1.661144267507136
79,0,1,LAE|MAE,1.8453873281269406
80,0,2,LAE|MAE,30.224110602159026
81,0,4,LAE|MAE|SAE,12.67665918496064
82,0,3,LAE|MAE|SAE,15.251636109324355
83,0,8,LAE|MAE,20.035816353189443
84,0,3,LAE|MAE|SAE,13.579014329347379
85,0,1,LAE|MAE,16.746178710973098
86,0,4,LAE|MAE,31.160994995849364
87,0,5,LAE|MAE,11.274022058211791
88,0,5,LAE|MAE,16.47463620479074
89,0,2,LAE|MAE,23.506463541565495
90,0,3,LAE|MAE|SAE,15.17726114850482
91,0,2,LAE|MAE,18.7053673210876
92,0,1,LAE|MAE,32.2724389319322
93,0,4,LAE|MAE,18.23232503259932
94,0,1,LAE|MAE,12.682718105799125
95,0,5,LAE|MAE,18.623578194460112
96,0,4,LAE|MAE|SAE,14.614568999683117
97,0,2,LAE|MAE,12.93828445023721
98,0,9,LAE|MAE,30.09125116735505
99,0,7,LAE|MAE|SAE,2.248130321132744
100,0,15,LAE|MAE|SAE,14.192133235752081
101,0,1,LAE|MAE,20.070611167947085
102,0,2,LAE|MAE,19.625715078245726
103,0,2,LAE|MAE,3.589345166082559
104,0,9,LAE|MAE|SAE,16.222722417299792
105,0,4,LAE|MAE,16.848803823828135
106,0,5,LAE|MAE|SAE,7.571384691487036
107,0,6,LAE|MAE|SAE,9.910029308836597
108,0,5,LAE|MAE,19.63501463360019
109,0,7,LAE|MAE|SAE,11.82855421085652
110,0,3,LAE|MAE|SAE,22.239785695343222
111,0,7,LAE|MAE|SAE,10.93726389042606
112,0,1,LAE|MAE,22.865284694136477
113,0,3,LAE|MAE|SAE,9.765666192011949
114,0,5,LAE|MAE,13.921988478125932
115,0,6,LAE|MAE|SAE,16.795721552819387
116,0,2,LAE|MAE,14.013426782145356
117,0,2,LAE|MAE,3.126677045953454
118,0,3,LAE|MAE|SAE,17.725560208813793
119,0,2,LAE|MAE,13.297233797013073
120,0,5,LAE|MAE,26.185477540023477
121,0,1,LAE|MAE,15.449221790246522
122,0,5,LAE|MAE,10.451525887818391
123,0,5,LAE|MAE|SAE,3.4790197024205542
124,0,3,LAE|MAE|SAE,3.8487325462258353
125,0,2,LAE|MAE,1.6446353770789588
126,0,3,LAE|MAE|SAE,14.294203710559202
127,0,2,LAE|MAE,1.6429589711717232
128,0,5,LAE|MAE,37.851676464889486
129,0,2,LAE|MAE,18.17915774478486
130,0,6,LAE|MAE,16.02796964195081
131,0,8,LAE|MAE,11.038079347016728
132,0,1,LAE|MAE,12.026635713420424
133,0,2,LAE|MAE,11.363964403406998
134,0,2,LAE|MAE,10.198190897068814
135,0,13,LAE|MAE|SAE,31.623271517353952
136,0,1,LAE|MAE,15.263544868301677
137,0,5,LAE|MAE,20.850263796047777
138,0,4,LAE|MAE,9.448595405933789
139,0,1,LAE|MAE,14.752111593631446
140,0,2,LAE|MAE,8.867727901189312
141,0,2,LAE|MAE,11.34182374177914
142,0,3,LAE|MAE|SAE,8.638135493237579
143,0,1,LAE|MAE,1.6824935473788003
144,0,2,LAE|MAE,19.96537844937998
145,0,7,LAE|MAE|SAE,15.285986143718494
146,0,4,LAE|MAE,10.526785438687943
147,0,1,LAE|MAE,17.461888290535573
148,0,2,LAE|MAE,13.739136050523083
149,0,6,LAE|MAE,14.105098367767742
150,0,2,LAE|MAE,3.5605446028440957
151,0,3,LAE|MAE|SAE,9.583703381852573
152,0,17,LAE|MAE|SAE,14.3799928165356
153,0,1,LAE|MAE,13.061920190736616
154,0,4,LAE|MAE|SAE,11.911181589408898
155,0,2,LAE|MAE,20.653805071448176
156,0,1,LAE|MAE,19.615156675456483
157,0,4,LAE|MAE|SAE,15.237128256906448
158,0,2,LAE|MAE,21.54746801110254
159,0,5,LAE|MAE|SAE,17.24424129678563
160,0,2,LAE|MAE,15.196695137942353
161,0,9,LAE|MAE,33.091543605641114
162,0,3,LAE|MAE|SAE,5.279316886527871
163,0,2,LAE|MAE,24.94297642854818
164,0,2,LAE|MAE,8.807929474917792
165,0,1,LAE|MAE,15.5748835643389
166,0,1,LAE|MAE,16.09793562459974
167,0,5,LAE|MAE,12.50467721323462
168,0,2,MAE,1.271457279840293
169,0,5,LAE|MAE,12.255538443292108
170,0,2,MAE,24.590111876938163
171,0,10,MAE,11.402553306199202
172,0,2,MAE,1.6789981617858738
173,0,2,MAE,3.516289998940258
174,0,21,LAE|MAE|SAE,16.031487264163836
175,0,3,MAE|SAE,23.564696012838887
176,0,4,MAE|SAE,1.7886420415453081
177,0,10,MAE|SAE,16.301183933128957
178,0,3,MAE|SAE,1.3325787969478458
179,0,3,MAE|SAE,17.422434187796345
180,0,2,MAE,6.256772407644894
181,0,3,MAE|SAE,12.878038404969066
182,0,2,MAE,10.668937819242236
183,0,2,MAE,17.49415588027784
184,0,4,MAE,11.885787643286807
185,0,2,MAE,20.210571227699006
186,0,2,MAE,1.0465806187833013
187,0,2,MAE,14.07798141854764
188,0,2,MAE,16.01225402010747
189,0,4,MAE|SAE,13.712312180918369
190,0,2,MAE,1.3588807881157645
191,0,7,LAE|MAE|SAE,6.3588453274712355
192,0,2,MAE,1.642592742234859
193,0,4,MAE|SAE,2.079099490317726
194,0,2,MAE,8.125908756799594
195,0,5,LAE|MAE,13.557942831037781
196,0,3,MAE|SAE,16.70969587974759
197,0,4,MAE,12.095420272639764
198,0,2,MAE,14.063332714690251
199,0,2,MAE,3.0201098074773296
200,0,3,MAE|SAE,1.965518881309599
201,0,2,MAE,11.376812005860183
202,0,7,MAE|SAE,7.7841554672106446
203,0,4,MAE|SAE,7.222223709161543
204,0,6,MAE,7.816649649466393
205,0,5,LAE|MAE|SAE,17.528007779470496
206,0,4,MAE|SAE,16.86184861543255
207,0,2,MAE,2.6652424479212455
208,0,2,MAE,1.0661487586913498
209,0,3,MAE|SAE,6.634452622340213
210,0,2,MAE,1.5456501531876345
211,0,12,LAE|MAE|SAE,15.637964451661025
212,0,3,MAE|SAE,1.8021027569060892
213,0,8,MAE,19.27353808486685
214,0,3,MAE|SAE,25.122371839892153
215,0,2,MAE,18.498052258996676
216,0,3,MAE|SAE,1.6724327296996748
217,0,2,MAE,28.190916035586536
218,0,3,MAE|SAE,1.97707975215403
219,0,3,MAE|SAE,1.413866613580615
220,0,3,MAE|SAE,1.6895582108777947
221,0,2,MAE,0.9161862886853847
222,0,4,MAE,18.733049753206668
223,0,2,MAE,45.43932620882359
224,0,3,MAE|SAE,2.2941183936931804
225,0,17,LAE|MAE|SAE,23.17825677990587
226,0,2,MAE,1.8292490672365354
227,0,3,MAE|SAE,14.874640248938748
228,0,8,LAE|MAE|SAE,17.378867125695972
229,0,17,LAE|MAE|SAE,16.47301595926224
230,0,6,MAE,16.037716338627664
231,0,6,MAE,17.35697603684795
232,0,2,MAE,1.6892107681628032
233,0,2,MAE,11.546613601281848
234,0,5,LAE|MAE,16.6269257525141
235,1,2,LAE|MAE,15.262272165102768
236,1,6,LAE|MAE|SAE,12.042933745101392
237,1,4,LAE|MAE,15.936444183230055
238,1,9,LAE|MAE,31.808899835163615
239,1,2,LAE|MAE,1.7292663729066502
240,1,2,LAE|MAE,3.6252306401972785
241,1,4,LAE|MAE|SAE,15.085566895290635
242,1,2,LAE|MAE,21.804302481514522
243,1,2,LAE|MAE,17.220479843069885
244,1,2,LAE|MAE,15.151041360426646
245,1,8,LAE|MAE|SAE,10.681100535404228
246,1,2,LAE|MAE,9.883723215621373
247,1,2,LAE|MAE,10.142830930638127
248,1,2,LAE|MAE,22.587913007855427
249,1,16,LAE|MAE|SAE,16.42500118053784
250,1,3,LAE|MAE|SAE,20.307784404070954
251,1,3,LAE|MAE|SAE,31.349769691761967
252,1,2,LAE|MAE,12.739662183599597
253,1,3,LAE|MAE|SAE,14.068454228308951
254,1,2,LAE|MAE,21.288948959803605
255,1,2,LAE|MAE,15.578620915375003
256,1,6,LAE|MAE,43.6391695967249
257,1,2,LAE|MAE,3.350434873860743
258,1,6,LAE|MAE|SAE,11.159847420799998
259,1,2,LAE|MAE,4.542558267053711
260,1,4,LAE|MAE,6.652014960126557
261,1,2,LAE|MAE,23.962586863930156
262,1,3,LAE|MAE|SAE,16.19377004132307
263,1,2,LAE|MAE,15.734075211638945
264,1,2,LAE|MAE,16.33093478076818
265,1,2,LAE|MAE,16.229717944560893
266,1,4,LAE|MAE|SAE,22.78443132434143
267,1,2,LAE|MAE,11.655828767655093
268,1,2,LAE|MAE,17.797059803579444
269,1,2,LAE|MAE,21.653599623271027
270,1,6,LAE|MAE,19.574905430574184
271,1,3,LAE|MAE|SAE,17.975133271955027
272,1,2,LAE|MAE,12.280330782963839
273,1,2,LAE|MAE,17.32139370983101
274,1,2,LAE|MAE,9.377648606385028
275,1,9,LAE|MAE|SAE,15.417252988620719
276,1,4,LAE|MAE,12.57885252217349
277,1,2,LAE|MAE,17.92832143574609
278,1,6,LAE|MAE|SAE,17.948104023951444
279,1,4,LAE|MAE,4.307827389425142
280,1,6,LAE|MAE,16.814362959607315
281,1,2,LAE|MAE,16.1243325762658
282,1,6,LAE|MAE|SAE,5.311810144071678
283,1,2,LAE|MAE,17.334321185795744
284,1,11,LAE|MAE|SAE,20.89028607595281
285,1,2,LAE|MAE,26.44921991236224
286,1,5,LAE|MAE,35.254265502961026
287,1,3,LAE|MAE|SAE,4.765409962517109
288,1,2,LAE|MAE,17.426898753051184
289,1,2,LAE|MAE,13.37865816659068
290,1,5,LAE|MAE|SAE,8.813097093319303
291,1,2,LAE|MAE,16.083182884626325
292,1,2,LAE|MAE,12.587642735491478
293,0,3,MAE|SAE,34.62633276367107
294,0,3,MAE|SAE,10.411383612962313
295,0,3,MAE|SAE,1.4489213361279742
296,0,3,MAE|SAE,11.511727870630214
297,0,4,MAE|SAE,13.6454014551045
298,0,4,MAE|SAE,13.067132536745154
299,0,3,MAE|SAE,12.406566417597933
300,0,6,MAE|SAE,13.370950822117791
301,0,4,MAE|SAE,3.6790963682354048
302,0,3,MAE|SAE,13.55673994755915
303,0,4,MAE|SAE,21.06657784065872
304,0,4,MAE|SAE,3.6265863618156597
305,0,6,MAE|SAE,11.708850449821268
