idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,277621498400,277.6214984,LAE,0
1,277654553792,277.654553792,LAE,282
2,277683210432,277.683210432,LAE,158
3,277715034912,277.715034912,LAE,200
4,277756538304,277.756538304,LAE,242
5,277787905120,277.78790512,LAE,229
6,277819866240,277.81986624,LAE,225
7,277852007776,277.852007776,LAE,187
8,277883766112,277.883766112,LAE,191
9,277915936576,277.91593657600004,LAE,203
10,277947421056,277.947421056,LAE,187
11,277978768000,277.978768,LAE,191
12,278010171680,278.01017168000004,LAE,198
13,278043083360,278.04308336,LAE,176
14,278075178816,278.075178816,LAE,174
15,278108983584,278.10898358400004,LAE,182
16,278143298592,278.143298592,LAE,187
17,278177030560,278.17703056,LAE,182
18,278212408128,278.212408128,LAE,182
19,278245143168,278.245143168,LAE,190
20,278285100224,278.285100224,LAE,168
21,278315387616,278.315387616,LAE,170
22,278347923104,278.347923104,LAE,187
23,278381895840,278.38189584,LAE,197
24,278413815616,278.413815616,LAE,184
25,278446262144,278.446262144,LAE,184
26,278478008768,278.478008768,LAE,196
27,278509728320,278.50972832,LAE,178
28,278541243840,278.54124384,LAE,208
29,278572816896,278.572816896,LAE,208
30,278604688480,278.60468848,LAE,206
31,278636935168,278.63693516800004,LAE,209
32,278670207680,278.67020768000003,LAE,145
33,278711064736,278.711064736,LAE,190
34,278744244192,278.744244192,LAE,150
35,278776827136,278.776827136,LAE,190
36,278809748896,278.80974889600003,LAE,163
37,278841160000,278.84116,LAE,197
38,278874158016,278.874158016,LAE,234
39,278905648320,278.90564832,LAE,203
40,278937178400,278.9371784,LAE,202
41,278969573920,278.96957392,LAE,206
42,279008259520,279.00825952,LAE,188
43,279038916544,279.038916544,LAE,218
44,279071496768,279.07149676800003,LAE,187
45,279103736992,279.103736992,LAE,168
46,279135564416,279.135564416,LAE,187
47,279167324960,279.16732496000003,LAE,154
48,279201719104,279.201719104,LAE,176
49,279235255264,279.23525526400005,LAE,212
50,279267522464,279.267522464,LAE,170
51,279308346688,279.30834668800003,LAE,160
52,279337351264,279.337351264,LAE,152
53,279371280384,279.37128038400004,LAE,173
54,279402907648,279.402907648,LAE,148
55,279435128704,279.435128704,LAE,174
56,279467151392,279.467151392,LAE,105
57,279498556224,279.498556224,LAE,131
58,279529931840,279.52993184,LAE,124
59,279561372608,279.561372608,LAE,194
60,279593144352,279.593144352,LAE,101
61,279626550496,279.626550496,LAE,146
62,279658739168,279.658739168,LAE,110
63,279692884288,279.692884288,LAE,145
64,279727044128,279.72704412800005,LAE,135
65,279759381408,279.759381408,LAE,133
66,279790836512,279.790836512,LAE,140
67,279822871328,279.822871328,LAE,171
68,279856235840,279.85623584,LAE,170
69,279887996864,279.887996864,LAE,129
70,279919511872,279.91951187200004,LAE,156
71,279951047968,279.951047968,LAE,157
72,279983729600,279.9837296,LAE,151
73,280015587808,280.015587808,LAE,160
74,280047138176,280.04713817600003,LAE,140
75,280078502592,280.078502592,LAE,145
76,280120717792,280.120717792,LAE,157
77,280152305824,280.152305824,LAE,128
78,280181266080,280.18126608,LAE,180
79,280212781728,280.21278172800004,LAE,136
80,280244849312,280.24484931200004,LAE,131
81,280276352672,280.27635267200003,LAE,163
82,280308139520,280.30813952,LAE,179
83,280339857280,280.33985728,LAE,156
84,280373382176,280.373382176,LAE,175
85,280405381408,280.40538140800004,LAE,125
86,280436748448,280.436748448,LAE,136
87,280472451328,280.47245132800003,LAE,160
88,280503944320,280.50394432,LAE,159
89,280544596000,280.544596,LAE,158
90,280573446240,280.57344624,LAE,184
91,280606175968,280.606175968,LAE,190
92,280648459328,280.648459328,LAE,153
93,280678643232,280.678643232,LAE,177
94,280710029312,280.710029312,LAE,182
95,280741808864,280.741808864,LAE,140
96,280773245504,280.77324550400004,LAE,155
97,280804641376,280.804641376,LAE,125
98,280836140512,280.83614051200004,LAE,130
99,280867806880,280.86780688,LAE,164
100,280899290752,280.899290752,LAE,210
101,280930797024,280.930797024,LAE,216
102,280962406944,280.962406944,LAE,218
103,280994013600,280.9940136,LAE,218
104,281026514592,281.026514592,LAE,147
105,281058773376,281.05877337600003,LAE,141
106,281097375360,281.09737536,LAE,121
107,281129261152,281.129261152,LAE,169
108,281162193248,281.162193248,LAE,170
109,281193813568,281.193813568,LAE,187
110,281225488928,281.225488928,LAE,221
111,281260024512,281.26002451200003,LAE,160
112,281292209472,281.292209472,LAE,199
113,281325377856,281.32537785600005,LAE,175
114,281358211264,281.35821126400003,LAE,201
115,281389926368,281.38992636800003,LAE,203
116,281425254592,281.42525459200004,LAE,224
117,281456772416,281.45677241600004,LAE,206
118,281488004416,281.488004416,LAE,208
119,281520810560,281.52081056000003,LAE,110
120,281555824000,281.55582400000003,LAE,160
121,281590825632,281.590825632,LAE,197
122,281630117568,281.630117568,LAE,197
123,281663533312,281.663533312,LAE,248
124,281698767040,281.69876704,LAE,176
125,281730431072,281.73043107200004,LAE,209
126,281765532896,281.765532896,LAE,202
127,281802192576,281.80219257600004,LAE,207
128,281838696096,281.83869609600004,LAE,217
129,281870596224,281.870596224,LAE,295
130,281901869408,281.90186940800004,LAE,287
131,281933256256,281.933256256,LAE,306
132,281965196960,281.96519696,LAE,293
133,281996817248,281.996817248,LAE,251
134,282028669824,282.028669824,LAE,181
135,282060600032,282.060600032,LAE,273
136,282092436800,282.09243680000003,LAE,281
137,282124056864,282.124056864,LAE,315
138,282155656096,282.15565609600003,LAE,312
139,282187003680,282.18700368000003,LAE,208
140,282219281728,282.219281728,LAE,347
141,282251267584,282.251267584,LAE,229
142,282292681664,282.29268166400004,LAE,172
143,282323133504,282.323133504,LAE,197
144,282354992384,282.354992384,LAE,224
145,282386777696,282.386777696,LAE,239
146,282418389344,282.418389344,LAE,224
147,282450522496,282.450522496,LAE,259
148,282482002432,282.482002432,LAE,191
149,282513427488,282.513427488,LAE,246
150,282545238400,282.5452384,LAE,176
151,282576594976,282.576594976,LAE,158
152,282607971200,282.6079712,LAE,164
153,282639666240,282.63966624,LAE,136
154,282671186592,282.671186592,LAE,295
155,282702753376,282.70275337600003,LAE,284
156,282734690912,282.734690912,LAE,291
157,282766574624,282.76657462400004,LAE,355
158,282807528896,282.807528896,LAE,405
159,282836399840,282.83639984,LAE,450
160,282868413600,282.8684136,LAE,477
161,282901733216,282.901733216,LAE,488
162,282936890976,282.93689097600003,LAE,468
163,282970837824,282.970837824,LAE,396
164,283008367968,283.008367968,LAE,370
165,283039756256,283.03975625600003,LAE,406
166,283071307648,283.071307648,LAE,396
167,283102793536,283.10279353600004,LAE,364
168,283134538080,283.13453808,LAE,405
169,283165926528,283.165926528,LAE,400
170,283197278752,283.19727875200005,LAE,388
171,283228794208,283.228794208,LAE,406
172,283260281696,283.260281696,LAE,401
173,283291688480,283.29168848,LAE,352
174,283324001728,283.32400172800004,LAE,381
175,283358436416,283.358436416,LAE,371
176,283390812800,283.3908128,LAE,402
177,283422416160,283.42241616,LAE,411
178,283458804672,283.45880467200004,LAE,392
179,283490594272,283.490594272,LAE,387
180,283523611648,283.52361164800004,LAE,359
181,283558162560,283.55816256,LAE,365
182,283589835200,283.58983520000004,LAE,404
183,283621705440,283.62170544,LAE,375
184,283653107616,283.653107616,LAE,369
185,283684776416,283.68477641600003,LAE,385
186,283716166368,283.716166368,LAE,386
187,283779848608,283.779848608,LAE,371
188,283811627648,283.811627648,LAE,353
189,283847647552,283.847647552,LAE,354
190,283879626272,283.879626272,LAE,364
191,283919392224,283.91939222400003,LAE,351
192,283950125664,283.95012566400004,LAE,334
193,283981919360,283.98191936,LAE,331
194,284013781536,284.013781536,LAE,364
195,284045501024,284.04550102400003,LAE,326
196,284077310720,284.07731072,LAE,322
197,284109167424,284.109167424,LAE,281
198,284138372320,284.13837232000003,LAE,288
199,284169868832,284.169868832,LAE,300
200,284198469856,284.19846985600003,LAE,256
201,284227449760,284.22744976,LAE,262
202,284256779072,284.25677907200003,LAE,246
203,284285493984,284.285493984,LAE,252
204,284315318272,284.315318272,LAE,267
205,284348176800,284.34817680000003,LAE,288
206,284377995904,284.37799590400004,LAE,291
207,284422462752,284.422462752,LAE,224
208,284454057696,284.454057696,LAE,200
209,284485986528,284.485986528,LAE,219
210,284514608064,284.514608064,LAE,206
211,284543310336,284.543310336,LAE,224
212,284572343008,284.572343008,LAE,243
213,284600978944,284.600978944,LAE,228
214,284629769472,284.629769472,LAE,206
215,284658711232,284.65871123200003,LAE,202
216,284687687136,284.687687136,LAE,203
217,284720330528,284.72033052800003,LAE,198
218,284757415328,284.75741532800004,LAE,221
219,284787797600,284.78779760000003,LAE,214
220,284817628800,284.8176288,LAE,264
221,284846537312,284.846537312,LAE,232
222,284875196832,284.87519683200003,LAE,273
223,284903928288,284.90392828800003,LAE,309
224,284933738816,284.933738816,LAE,318
225,284962622464,284.962622464,LAE,321
226,284991505408,284.991505408,LAE,297
227,285020346240,285.02034624000004,LAE,291
228,285049272192,285.049272192,LAE,325
229,285077868640,285.07786864,LAE,307
230,285106784576,285.106784576,LAE,307
231,285135977536,285.13597753600004,LAE,274
232,285164761632,285.164761632,LAE,310
233,285198853376,285.19885337600005,LAE,312
234,285228018656,285.228018656,LAE,275
235,285257777984,285.25777798400003,LAE,247
236,285286846272,285.286846272,LAE,278
237,285316800608,285.316800608,LAE,225
238,285349187360,285.34918736000003,LAE,201
239,285382145152,285.382145152,LAE,222
240,285414941536,285.414941536,LAE,200
241,285457959168,285.457959168,LAE,194
242,285488398688,285.488398688,LAE,203
243,285520314944,285.520314944,LAE,254
244,285552193664,285.552193664,LAE,190
245,285583476576,285.583476576,LAE,183
246,285614965504,285.614965504,LAE,238
247,285646903584,285.64690358400003,LAE,227
248,285679062176,285.679062176,LAE,227
249,285711349600,285.7113496,LAE,214
250,285743399648,285.74339964800004,LAE,205
251,285787780640,285.78778064,LAE,169
252,285819806752,285.81980675200003,LAE,234
253,285851216224,285.85121622400004,LAE,174
254,285882879264,285.882879264,LAE,220
255,285914832032,285.914832032,LAE,191
256,285946571680,285.94657168000003,LAE,198
257,285977989280,285.97798928000003,LAE,212
258,286010254176,286.010254176,LAE,194
259,286041409504,286.041409504,LAE,149
260,286072995872,286.07299587200004,LAE,148
