landmark_id,first_frame_idx,last_frame_idx,slots_seen,creation_depth_m
0,0,1,LAE,0.7832226593226593
1,0,15,LAE,20.106973189709148
2,0,11,LAE,0.9479169164782035
3,0,14,LAE,2.118764726422398
4,0,23,LAE,12.979692320467832
5,0,4,LAE,0.7293047172890398
6,0,11,LAE,11.548671421266635
7,0,5,LAE,12.509855676932133
8,0,12,LAE,1.3542159889768546
9,0,7,LAE,0.9168435860376833
10,0,29,LAE,38.29873966370326
11,0,6,LAE,40.496175335956956
12,0,4,LAE,24.099033523254317
13,0,19,LAE,35.15251799396481
14,0,23,LAE,21.028564553491123
15,0,1,LAE,0.6720691920171231
16,0,21,LAE,22.599988651901484
17,0,41,LAE,18.671945492345323
18,0,10,LAE,11.175740170759882
19,0,2,LAE,0.6715714754773197
20,0,9,LAE,16.735357419917392
21,0,10,LAE,15.706262521647082
22,0,1,LAE,0.723250095366639
23,0,2,LAE,14.942699693425032
24,0,12,LAE,1.529253524509184
25,0,1,LAE,18.221543330969283
26,0,25,LAE,30.316621020001367
27,0,4,LAE,1.3927328742833978
28,0,5,LAE,16.044996381061996
29,0,76,LAE,21.012432607753755
30,0,7,LAE,21.40852744346902
31,0,1,LAE,38.93074944182324
32,0,17,LAE,21.540526740110167
33,0,14,LAE,48.92217186753663
34,0,11,LAE,10.657269245333243
35,0,1,LAE,17.249929508469116
36,0,4,LAE,22.21560881470585
37,0,41,LAE,15.930258456394155
38,0,9,LAE,1.2278304790163337
39,0,6,LAE,1.7780993740131805
40,0,1,LAE,0.6168488676674955
41,0,11,LAE,18.65832066826186
42,0,68,LAE,20.9610925462037
43,0,7,LAE,0.8411686220337925
44,0,1,LAE,12.66380810800888
45,0,27,LAE,14.199102561518078
46,0,1,LAE,38.39239697569208
47,0,10,LAE,17.61313172604571
48,0,1,LAE,1.1665364882269034
49,0,1,LAE,30.73931631136131
50,0,10,LAE,18.440622340918612
51,0,23,LAE,13.16128864779255
52,0,1,LAE,0.6042955609206692
53,0,12,LAE,10.346468622291026
54,0,1,LAE,15.411060410558616
55,0,9,LAE,0.8393302253158812
56,0,9,LAE,23.13896050294873
57,0,37,LAE,20.1518186099137
58,0,1,LAE,9.581064792035743
59,0,10,LAE,1.520104837890396
60,0,23,LAE,20.976257305258347
61,0,10,LAE,11.34252783449257
62,0,1,LAE,0.6087776165981574
63,0,17,LAE,18.26075237858182
64,0,5,LAE,0.8925356581358523
65,0,11,LAE,15.920017313235077
66,0,20,LAE,29.736662814740104
67,0,3,LAE,0.8949791560494776
68,0,1,LAE,11.5357538977974
69,0,7,LAE,11.8045662425064
70,0,2,LAE,19.204365245392857
71,0,12,LAE,1.127891032877443
72,0,22,LAE,32.39478795432452
73,0,20,LAE,16.495771880801954
74,0,9,LAE,16.77872704026186
75,0,5,LAE,12.604349954162586
76,0,19,LAE,17.726185705684816
77,0,9,LAE,1.5121177999351443
78,0,4,LAE,5.092389937795839
79,0,10,LAE,7.548467380006857
80,0,53,LAE,14.897351009268045
81,0,1,LAE,0.9429394907761907
82,0,1,LAE,0.8010917198901258
83,0,28,LAE,13.491576401444258
84,0,2,LAE,21.599473538804805
85,0,1,LAE,14.764612322299703
86,0,1,LAE,1.3716768225683618
87,0,8,LAE,0.8675214770983244
88,0,58,LAE,18.340774817700147
89,0,5,LAE,0.9992789584419763
90,0,26,LAE,36.71255857253176
91,0,1,LAE,25.386300493370367
92,0,4,LAE,0.9410587330622028
93,0,4,LAE,0.5967393409763587
94,0,28,LAE,11.649538339576138
95,0,1,LAE,17.54354838283187
96,0,6,LAE,17.797092912581903
97,0,27,LAE,18.592862014434317
98,0,13,LAE,14.910032223890896
99,0,6,LAE,0.9310094106280994
100,0,6,LAE,1.3785707283688482
101,0,1,LAE,28.549613474546693
102,0,45,LAE,24.65744358527222
103,0,19,LAE,14.031927000283234
104,0,3,LAE,13.015144440781617
105,0,4,LAE,0.7532058499844316
106,0,2,LAE,18.105080747280812
107,0,4,LAE,35.849023832173984
108,0,3,LAE,1.1546713029312852
109,0,10,LAE,30.920768010950813
110,0,1,LAE,14.56562121075011
111,0,13,LAE,38.48241727060284
112,0,6,LAE,25.618612799612624
113,0,29,LAE,10.253213450364404
114,0,5,LAE,23.709793892117744
115,0,2,LAE,39.57468501323474
116,0,11,LAE,12.786345490648808
117,0,8,LAE,1.973207092184445
118,0,11,LAE,17.002731077945583
119,0,5,LAE,14.138329717330294
120,0,1,LAE,0.6540381278821983
121,0,5,LAE,13.68227857722591
122,0,1,LAE,30.147947075693537
123,0,3,LAE,0.8441916033543753
124,0,9,LAE,20.707093027674752
125,0,1,LAE,16.677841710374153
126,0,4,LAE,1.1678021474174176
127,0,4,LAE,11.953414272857414
128,0,5,LAE,0.9670395154463988
129,0,19,LAE,17.750395161654453
130,0,4,LAE,21.121503744647264
131,0,6,LAE,18.84681058738837
132,0,38,LAE,12.227882495975859
133,0,1,LAE,0.8432426689639593
134,0,17,LAE,20.772876921564162
135,0,6,LAE,1.0736976897332176
136,0,20,LAE,22.968676612817962
137,0,6,LAE,0.81920758812742
138,0,5,LAE,7.953757474977526
139,0,10,LAE,41.82992691015622
140,0,1,LAE,12.213592132606848
141,0,8,LAE,1.1339072284664589
142,0,17,LAE,22.469853699895793
143,0,23,LAE,26.308603636115414
144,0,37,LAE,20.21566587083298
145,0,9,LAE,10.868010632503406
146,0,11,LAE,17.99746746047633
147,0,7,LAE,18.075419412282557
148,0,2,LAE,40.14168288538506
149,0,7,LAE,1.1980745282689977
150,0,2,LAE,13.109993171211611
151,0,5,LAE,0.8286110615655324
152,0,2,LAE,17.627462132018234
153,0,6,LAE,1.3089962862951603
154,0,17,LAE,48.424341044817616
155,0,8,LAE,1.4018383239266867
156,0,11,LAE,19.561354523704264
157,0,16,LAE,42.86996685245995
158,0,5,LAE,0.7382334114723388
159,0,10,LAE,16.982100139776566
160,0,13,LAE,1.4306159676765726
161,0,3,LAE,9.252618315778768
162,0,7,LAE,41.29358478497134
163,0,4,LAE,19.923643571655056
164,0,2,LAE,0.7531908568689366
165,0,3,LAE,11.523826157755511
166,0,7,LAE,0.7882759573456142
167,0,5,LAE,0.806981059133961
168,0,2,LAE,22.516518423220443
169,0,5,LAE,13.94446916873793
170,0,2,LAE,19.767752468360595
171,1,5,LAE,25.14824865317729
172,1,4,LAE,0.7415039072523945
173,1,2,LAE,20.995243730835533
174,1,4,LAE,29.953465026316785
175,1,8,LAE,1.327870053782085
176,1,4,LAE,16.962269982433927
177,1,2,LAE,6.848794814939239
178,1,22,LAE,19.67347432140033
179,1,2,LAE,0.5530352737350654
180,1,22,LAE,21.693980526657047
181,1,21,LAE,14.828802840600098
182,1,3,LAE,18.81004844724812
183,1,9,LAE,1.1144149099850928
184,1,10,LAE,35.504034255255796
