idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,3171602332352,3171.6023323520003,LAE,0
1,3171853681280,3171.8536812800003,LAE,40
2,3172102647712,3172.1026477120004,LAE,22
3,3172352515744,3172.3525157440004,LAE,36
4,3172602991584,3172.6029915840004,LAE,35
5,3172852196000,3172.8521960000003,LAE,16
6,3173103215296,3173.103215296,LAE,25
7,3173352951424,3173.3529514240004,LAE,49
8,3173603549536,3173.603549536,LAE,123
9,3173854231712,3173.854231712,LAE,154
10,3174104546816,3174.104546816,LAE,158
11,3174355742112,3174.3557421120004,LAE,117
12,3174605055616,3174.6050556160003,LAE,127
13,3174855585280,3174.85558528,LAE,42
14,3175105267328,3175.105267328,LAE,72
15,3175355200000,3175.3552000000004,LAE,104
16,3175605346464,3175.6053464640004,LAE,89
17,3175855133056,3175.8551330560003,LAE,90
18,3176105130912,3176.1051309120003,LAE,91
19,3176355421632,3176.3554216320003,LAE,97
20,3176605769248,3176.6057692480003,LAE,32
21,3176855310656,3176.8553106560003,LAE,8
22,3177105871040,3177.1058710400002,LAE,0
23,3177355697056,3177.3556970560003,LAE,0
24,3177605048864,3177.6050488640003,LAE,0
25,3177855310592,3177.855310592,LAE,0
26,3178105772864,3178.1057728640003,LAE,0
27,3178355158880,3178.35515888,LAE,0
28,3178605671488,3178.605671488,LAE,0
29,3178854975936,3178.8549759360003,LAE,0
30,3179105807136,3179.1058071360003,LAE,0
31,3179355601440,3179.35560144,LAE,0
32,3179605242016,3179.6052420160004,LAE,0
33,3179855618400,3179.8556184000004,LAE,0
34,3180105331232,3180.105331232,LAE,0
35,3180355992352,3180.355992352,LAE,0
36,3180605403840,3180.6054038400002,LAE,0
37,3180855836512,3180.855836512,LAE,2
38,3181105483648,3181.1054836480002,LAE,0
39,3181355184032,3181.355184032,LAE,0
40,3181605374048,3181.605374048,LAE,0
41,3181854773440,3181.8547734400004,LAE,0
42,3182105825856,3182.105825856,LAE,0
43,3182355507552,3182.3555075520003,LAE,4
44,3182605080896,3182.6050808960003,LAE,20
45,3182855115968,3182.855115968,LAE,37
46,3183105163168,3183.105163168,LAE,34
47,3183355357664,3183.355357664,LAE,69
48,3183605042496,3183.6050424960004,LAE,44
49,3183855785056,3183.855785056,LAE,73
50,3184106384064,3184.1063840640004,LAE,47
51,3184355255584,3184.355255584,LAE,68
