idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,3424355206592,3424.3552065920003,LAE,0
1,3424605191616,3424.6051916160004,LAE,326
2,3424855188576,3424.8551885760003,LAE,181
3,3425105287552,3425.1052875520004,LAE,171
4,3425355202240,3425.3552022400004,LAE,152
5,3425605357088,3425.6053570880003,LAE,135
6,3425855180960,3425.8551809600003,LAE,126
7,3426105728800,3426.1057288,LAE,115
8,3426354962432,3426.3549624320003,LAE,110
9,3426605319296,3426.6053192960003,LAE,87
10,3426855335584,3426.8553355840004,LAE,106
11,3427106640032,3427.106640032,LAE,84
12,3427355383968,3427.3553839680003,LAE,67
13,3427605335680,3427.6053356800003,LAE,80
14,3427855188256,3427.855188256,LAE,63
15,3428105300704,3428.105300704,LAE,57
16,3428355598016,3428.3555980160004,LAE,76
17,3428605923360,3428.6059233600004,LAE,65
18,3428855367904,3428.855367904,LAE,74
19,3429105567424,3429.105567424,LAE,87
20,3429355001632,3429.355001632,LAE,109
21,3429605500000,3429.6055,LAE,75
22,3429855261408,3429.8552614080004,LAE,126
23,3430105434368,3430.1054343680003,LAE,208
24,3430355335808,3430.3553358080003,LAE,180
25,3430605197760,3430.60519776,LAE,217
26,3430854966944,3430.8549669440004,LAE,233
27,3431105167648,3431.105167648,LAE,210
28,3431355340608,3431.355340608,LAE,111
29,3431605176736,3431.6051767360004,LAE,123
30,3431855198464,3431.8551984640003,LAE,124
31,3432105838144,3432.1058381440002,LAE,84
32,3432354996672,3432.354996672,LAE,83
33,3432605180416,3432.605180416,LAE,98
34,3432855346176,3432.8553461760002,LAE,13
35,3433105278944,3433.105278944,LAE,16
36,3433355325024,3433.355325024,LAE,3
37,3433605041728,3433.6050417280003,LAE,0
38,3437105518752,3437.105518752,LAE,0
39,3437355194496,3437.3551944960004,LAE,8
40,3437606474624,3437.6064746240004,LAE,22
41,3437854954240,3437.85495424,LAE,58
42,3438105586368,3438.1055863680003,LAE,45
43,3438354971328,3438.3549713280004,LAE,59
44,3438605497632,3438.605497632,LAE,83
45,3438855235040,3438.85523504,LAE,107
46,3439105490656,3439.1054906560003,LAE,70
47,3439355012864,3439.3550128640004,LAE,91
48,3439604621056,3439.6046210560003,LAE,147
49,3439855247040,3439.85524704,LAE,183
50,3440105315840,3440.10531584,LAE,236
51,3440355158368,3440.355158368,LAE,246
