landmark_id,first_frame_idx,last_frame_idx,slots_seen,creation_depth_m
0,0,7,LAE|MAE|SAE,0.7954241787695334
1,0,8,LAE|MAE|SAE,0.9604033584221568
2,0,8,LAE|MAE|SAE,0.8184249309259806
3,0,8,LAE|MAE|SAE,0.9022328670118
4,0,7,LAE|MAE|SAE,0.7757299202671648
5,0,2,MAE|SAE,0.6602992776447719
6,0,12,LAE|MAE|SAE,13.53760529394609
7,0,8,LAE|MAE|SAE,35.03040840592662
8,0,71,LAE|MAE|SAE,16.379333384631305
9,0,8,LAE|MAE|SAE,0.8923995219567399
10,0,24,LAE|MAE|SAE,10.780581997188074
11,0,4,MAE|SAE,10.60587294790554
12,0,8,LAE|MAE|SAE,1.021765240393648
13,0,34,LAE|MAE|SAE,19.74421075958184
14,0,8,MAE|SAE,1.3105582323852947
15,0,3,LAE|MAE|SAE,10.132227888790837
16,0,38,LAE|MAE|SAE,15.7663118517609
17,0,40,LAE|MAE|SAE,39.40139816572434
18,0,5,LAE|MAE|SAE,0.8207406916082393
19,0,7,LAE|MAE|SAE,1.5604550115348026
20,0,15,LAE|MAE|SAE,1.5568034693632806
21,0,12,LAE|MAE|SAE,17.571347326652674
22,0,7,LAE|MAE|SAE,1.088282317179462
23,0,2,MAE|SAE,0.9882414497658424
24,0,3,LAE|MAE|SAE,0.8811994421748105
25,0,4,MAE|SAE,1.0648562203380516
26,0,9,LAE|MAE|SAE,1.3677060068986113
27,0,5,MAE|SAE,0.6455216750081454
28,0,8,LAE|MAE|SAE,1.1926028266089401
29,0,16,LAE|MAE|SAE,20.25054955030199
30,0,12,LAE|MAE|SAE,14.094777826686423
31,0,11,LAE|MAE|SAE,13.4884567838971
32,0,14,LAE|MAE|SAE,14.705590505673328
33,0,5,MAE|SAE,25.951280281343404
34,0,6,LAE|MAE|SAE,10.039664229864279
35,0,26,LAE|MAE|SAE,17.317388320433487
36,0,33,LAE|MAE|SAE,15.654251654699534
37,0,11,LAE|MAE|SAE,21.537453616183402
38,0,39,LAE|MAE|SAE,12.847350005550592
39,0,5,MAE|SAE,1.1617969455653414
40,0,15,LAE|MAE|SAE,9.533297660090163
41,0,1,MAE|SAE,0.5595184366990593
42,0,73,LAE|MAE|SAE,40.13105806501039
43,0,8,LAE|MAE|SAE,1.1069772779915132
44,0,4,MAE|SAE,0.8038260391061471
45,0,3,LAE|MAE|SAE,1.2372039163121493
46,0,1,MAE|SAE,40.724482171380465
47,0,12,LAE|MAE|SAE,12.486044724856537
48,0,5,LAE|MAE|SAE,10.885121785377411
49,0,11,LAE|MAE|SAE,1.4186035244928996
50,0,15,LAE|MAE|SAE,16.440598980206424
51,0,6,MAE|SAE,38.09032393939412
52,0,44,LAE|MAE|SAE,19.628694452069105
53,0,13,LAE|MAE|SAE,15.50800979153579
54,0,13,LAE|MAE|SAE,10.133609846419
55,0,27,LAE|MAE|SAE,16.803581742293762
56,0,3,LAE|MAE|SAE,0.769273662332626
57,0,20,LAE|MAE|SAE,13.65300294519041
58,0,5,LAE|MAE|SAE,1.0456524127989582
59,0,63,LAE|MAE|SAE,16.437391725831013
60,0,12,LAE|MAE|SAE,1.3396311088974768
61,0,1,MAE|SAE,18.53830433213419
62,0,13,MAE|SAE,37.1640215399567
63,0,8,LAE|MAE|SAE,1.1275698350178343
64,0,4,MAE|SAE,0.6436328693192641
65,0,3,LAE|MAE|SAE,1.1183655643013668
66,0,5,MAE|SAE,0.687082337654115
67,0,6,LAE|MAE|SAE,1.349622303031604
68,0,4,MAE|SAE,0.6085765439160634
69,0,27,LAE|MAE|SAE,21.316640529288485
70,0,7,LAE|MAE|SAE,0.7626086863275643
71,0,4,LAE|MAE|SAE,19.428930789217436
72,0,1,MAE|SAE,18.465175001092287
73,0,5,LAE|MAE|SAE,0.9389807538365935
74,0,3,LAE|MAE|SAE,1.614014460221868
75,0,8,LAE|MAE|SAE,12.469306077291288
76,0,8,LAE|MAE|SAE,0.9234474773736361
77,0,4,LAE|MAE|SAE,0.5884060992553354
78,0,2,MAE|SAE,0.6003618310557833
79,0,8,LAE|MAE|SAE,1.2601669023489614
80,0,3,LAE|MAE|SAE,46.48965819712792
81,0,4,MAE|SAE,0.6541216517943739
82,0,30,LAE|MAE|SAE,20.03588692783726
83,0,15,LAE|MAE|SAE,23.646819487997266
84,0,53,LAE|MAE|SAE,18.306196156567456
85,0,48,LAE|MAE|SAE,23.819031725245996
86,0,18,LAE|MAE|SAE,17.816116433531548
87,0,11,LAE|MAE|SAE,13.228411302339337
88,0,1,MAE|SAE,11.235084585081973
89,0,7,LAE|MAE|SAE,15.536941923766184
90,0,3,LAE|MAE|SAE,0.5716541101852671
91,0,14,LAE|MAE|SAE,12.230565685957247
92,0,19,LAE|MAE|SAE,15.938723470066563
93,0,2,MAE|SAE,8.060003360300316
94,0,1,MAE|SAE,0.6557433272215905
95,0,10,MAE|SAE,1.027138983724575
96,0,3,LAE|MAE|SAE,0.5622321570218521
97,0,25,LAE|MAE|SAE,19.82936208084156
98,0,7,LAE|MAE|SAE,0.8494848768483244
99,0,1,MAE|SAE,5.712036760595842
100,0,2,MAE|SAE,12.288464669803966
101,0,1,MAE|SAE,16.01993521537105
102,0,4,LAE|MAE|SAE,0.59243018700118
103,0,18,LAE|MAE|SAE,13.296701293782652
104,0,1,MAE|SAE,0.9247212136427914
105,0,11,LAE|MAE|SAE,14.071546200560482
106,0,7,LAE|MAE|SAE,1.0410205342762922
107,0,4,LAE|MAE|SAE,4.181387760746281
108,0,16,MAE|SAE,18.236865084097857
109,0,3,LAE|MAE|SAE,0.5861526893776982
110,0,42,LAE|MAE|SAE,21.052525090465267
111,0,4,LAE|MAE|SAE,14.952712151469052
112,0,7,LAE|MAE|SAE,22.528456335369555
113,0,1,MAE|SAE,2.3049634537758816
114,0,1,MAE|SAE,0.7843422001341064
115,0,11,LAE|MAE|SAE,1.1170651742509612
116,0,4,LAE|MAE|SAE,0.8031679901773078
117,0,2,MAE|SAE,0.7262832310784865
118,0,24,LAE|MAE|SAE,16.941730503172522
119,0,52,LAE|MAE|SAE,24.925917939117927
120,0,25,LAE|MAE|SAE,13.161110529202833
121,0,14,LAE|MAE|SAE,5.621879601041823
122,0,8,LAE|MAE|SAE,0.8561427839505934
123,0,18,LAE|MAE|SAE,15.937487403239446
124,0,4,MAE|SAE,2.742199565843936
125,0,7,LAE|MAE|SAE,13.58621824595912
126,0,74,LAE|MAE|SAE,15.810132819689349
127,0,27,LAE|MAE|SAE,17.738009310878972
128,0,22,MAE|SAE,16.240472666363104
129,0,20,LAE|MAE|SAE,9.798118197346747
130,0,4,LAE|MAE|SAE,2.0033569763120984
131,0,5,MAE|SAE,14.54112209824217
132,0,11,LAE|MAE|SAE,1.208540777853919
133,0,1,MAE|SAE,0.6347030430788958
134,0,9,LAE|MAE|SAE,1.3840948948712513
135,0,18,LAE|MAE|SAE,19.777935086202856
136,0,11,LAE|MAE|SAE,27.669532360775506
137,0,6,MAE|SAE,0.9156228377930922
138,0,19,LAE|MAE|SAE,10.579960611320478
139,0,12,LAE|MAE|SAE,1.171543189332499
140,0,10,LAE|MAE|SAE,1.214745390173465
141,0,4,MAE|SAE,1.1460693501144037
142,0,7,LAE|MAE|SAE,0.9601918648074078
143,0,1,MAE|SAE,18.041767934394183
144,0,9,LAE|MAE|SAE,11.978269235897779
145,0,1,MAE|SAE,0.8221232320034592
146,0,15,LAE|MAE|SAE,12.592442013947727
147,0,19,LAE|MAE|SAE,17.67428882622125
148,0,1,MAE|SAE,17.77348027513533
149,0,1,MAE|SAE,15.915172836042217
150,0,12,LAE|MAE|SAE,18.43850844882546
151,0,1,MAE|SAE,0.9856180857334034
152,0,25,LAE|MAE|SAE,10.384335729211427
153,0,12,LAE|MAE|SAE,13.1457972479259
154,0,9,LAE|MAE|SAE,1.3833308160194329
