idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,1790398132960,1790.39813296,MAE,0
1,1790647154496,1790.6471544960002,LAE,356
2,1790897836096,1790.8978360960002,MAE,198
3,1791150460512,1791.150460512,SAE,114
4,1791398139360,1791.3981393600002,MAE,132
5,1791647722624,1791.6477226240002,LAE,115
6,1791898236672,1791.8982366720002,MAE,112
7,1792150123456,1792.150123456,SAE,89
8,1792397940576,1792.397940576,MAE,83
9,1792647121056,1792.647121056,LAE,72
10,1792898384896,1792.8983848960002,MAE,102
11,1793150906048,1793.150906048,SAE,17
12,1793398042400,1793.3980424000001,MAE,71
13,1793647227456,1793.647227456,LAE,58
14,1793897901856,1793.897901856,MAE,79
15,1794150606880,1794.1506068800002,SAE,49
16,1794398354848,1794.398354848,LAE,11
17,1794647757248,1794.647757248,LAE,42
18,1794899552448,1794.8995524480001,MAE,43
19,1795150692448,1795.1506924480002,SAE,49
20,1795399120256,1795.399120256,MAE,8
21,1795646881600,1795.6468816000001,LAE,6
22,1795901197088,1795.9011970880001,MAE,4
23,1796150736384,1796.150736384,SAE,3
24,1796401823936,1796.401823936,MAE,95
25,1796650800736,1796.650800736,LAE,1
26,1796900627904,1796.9006279040002,MAE,49
27,1797150964896,1797.150964896,SAE,116
28,1797400377344,1797.4003773440002,MAE,99
29,1797650747616,1797.6507476160002,LAE,8
30,1797900587072,1797.900587072,MAE,25
31,1798150611776,1798.150611776,SAE,52
32,1798400313504,1798.4003135040002,MAE,109
33,1798650636128,1798.650636128,LAE,23
34,1798900440000,1798.9004400000001,MAE,10
35,1799400940288,1799.4009402880001,MAE,26
36,1799650682400,1799.6506824,LAE,5
37,1799900400608,1799.9004006080002,MAE,17
38,1800400884640,1800.4008846400002,MAE,40
39,1800650484512,1800.650484512,LAE,4
40,1800900771104,1800.9007711040001,MAE,14
41,1801151664640,1801.15166464,SAE,8
42,1801400801216,1801.4008012160002,SAE,17
43,1801648273984,1801.648273984,LAE,2
44,1801899410432,1801.8994104320002,MAE,138
45,1802150668864,1802.1506688640002,SAE,61
46,1802398795776,1802.398795776,MAE,106
47,1802647903488,1802.647903488,LAE,69
48,1802898453568,1802.8984535680001,MAE,92
49,1803150658912,1803.1506589120002,SAE,32
50,1803398117056,1803.398117056,MAE,74
51,1803647284224,1803.647284224,LAE,100
52,1803898841504,1803.898841504,MAE,170
53,1804150808352,1804.150808352,SAE,111
54,1804397798144,1804.397798144,SAE,133
55,1804646375680,1804.6463756800001,MAE,219
