idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,1656016383936,1656.016383936,MAE,0
1,1656266415552,1656.2664155520001,SAE,0
2,1656516311552,1656.5163115520002,MAE,0
3,1656762332896,1656.762332896,LAE,18
4,1657016077312,1657.016077312,MAE,16
5,1657266221920,1657.2662219200001,SAE,0
6,1657516171808,1657.516171808,MAE,0
7,1657762650912,1657.762650912,LAE,40
8,1658016753568,1658.016753568,MAE,8
9,1658266284224,1658.2662842240002,SAE,0
10,1658516207584,1658.516207584,MAE,35
11,1658762186208,1658.762186208,LAE,104
12,1659015916672,1659.015916672,MAE,95
13,1659266607200,1659.2666072000002,SAE,92
14,1659516279520,1659.5162795200001,MAE,28
15,1659762189312,1659.7621893120001,LAE,22
16,1660016252064,1660.0162520640001,MAE,31
17,1660266442112,1660.266442112,SAE,73
18,1660515903520,1660.5159035200002,MAE,64
19,1660762175968,1660.762175968,LAE,0
20,1661016229792,1661.016229792,MAE,15
21,1661266223392,1661.266223392,SAE,60
22,1661516689920,1661.51668992,MAE,38
23,1661761810752,1661.7618107520002,LAE,2
24,1662016347712,1662.0163477120002,MAE,7
25,1662266412448,1662.2664124480002,SAE,2
26,1662516842016,1662.516842016,MAE,0
27,1662761878848,1662.7618788480002,LAE,4
28,1663017633280,1663.0176332800002,MAE,0
29,1663266998048,1663.266998048,SAE,0
30,1663516341568,1663.5163415680001,MAE,0
31,1663761980576,1663.761980576,LAE,0
32,1664016388192,1664.016388192,MAE,0
33,1664266261600,1664.2662616,SAE,0
34,1664516741696,1664.516741696,MAE,0
35,1664761940864,1664.761940864,LAE,0
36,1665016246080,1665.0162460800002,MAE,0
37,1665266673792,1665.2666737920001,SAE,0
38,1665516498336,1665.516498336,MAE,0
39,1665762017088,1665.762017088,LAE,0
40,1666016273600,1666.0162736000002,MAE,0
41,1666266096736,1666.266096736,SAE,0
42,1666516574880,1666.51657488,MAE,0
43,1666762445984,1666.7624459840001,LAE,4
44,1667016490016,1667.016490016,MAE,0
45,1667266320352,1667.266320352,SAE,0
46,1667516237760,1667.5162377600002,MAE,0
47,1667761742272,1667.761742272,LAE,8
48,1668016035424,1668.0160354240002,MAE,11
49,1668266107840,1668.2661078400001,SAE,0
50,1668516149632,1668.5161496320002,MAE,21
51,1668761990080,1668.76199008,LAE,42
52,1669015969536,1669.015969536,MAE,60
53,1669266345536,1669.266345536,SAE,1
