idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,277621498400,277.6214984,LAE,0
1,277654553792,277.654553792,LAE,468
2,277683210432,277.683210432,LAE,241
3,277715034912,277.715034912,LAE,285
4,277756538304,277.756538304,LAE,333
5,277787905120,277.78790512,LAE,302
6,277819866240,277.81986624,LAE,303
7,277852007776,277.852007776,LAE,307
8,277883766112,277.883766112,LAE,316
9,277915936576,277.91593657600004,LAE,285
10,277947421056,277.947421056,LAE,283
11,277978768000,277.978768,LAE,310
12,278010171680,278.01017168000004,LAE,280
13,278043083360,278.04308336,LAE,257
14,278075178816,278.075178816,LAE,273
15,278108983584,278.10898358400004,LAE,306
16,278143298592,278.143298592,LAE,277
17,278177030560,278.17703056,LAE,291
18,278212408128,278.212408128,LAE,259
19,278245143168,278.245143168,LAE,269
20,278285100224,278.285100224,LAE,264
21,278315387616,278.315387616,LAE,283
22,278347923104,278.347923104,LAE,320
23,278381895840,278.38189584,LAE,249
24,278413815616,278.413815616,LAE,307
25,278446262144,278.446262144,LAE,275
26,278478008768,278.478008768,LAE,310
27,278509728320,278.50972832,LAE,289
28,278541243840,278.54124384,LAE,297
29,278572816896,278.572816896,LAE,309
30,278604688480,278.60468848,LAE,265
31,278636935168,278.63693516800004,LAE,310
32,278670207680,278.67020768000003,LAE,277
33,278711064736,278.711064736,LAE,296
34,278744244192,278.744244192,LAE,222
35,278776827136,278.776827136,LAE,282
36,278809748896,278.80974889600003,LAE,279
37,278841160000,278.84116,LAE,246
38,278874158016,278.874158016,LAE,305
39,278905648320,278.90564832,LAE,294
40,278937178400,278.9371784,LAE,301
41,278969573920,278.96957392,LAE,297
42,279008259520,279.00825952,LAE,307
43,279038916544,279.038916544,LAE,316
44,279071496768,279.07149676800003,LAE,297
45,279103736992,279.103736992,LAE,256
46,279135564416,279.135564416,LAE,245
47,279167324960,279.16732496000003,LAE,247
48,279201719104,279.201719104,LAE,273
49,279235255264,279.23525526400005,LAE,280
50,279267522464,279.267522464,LAE,245
51,279308346688,279.30834668800003,LAE,193
52,279337351264,279.337351264,LAE,229
53,279371280384,279.37128038400004,LAE,242
54,279402907648,279.402907648,LAE,223
55,279435128704,279.435128704,LAE,246
56,279467151392,279.467151392,LAE,182
57,279498556224,279.498556224,LAE,178
58,279529931840,279.52993184,LAE,227
59,279561372608,279.561372608,LAE,226
60,279593144352,279.593144352,LAE,173
61,279626550496,279.626550496,LAE,180
62,279658739168,279.658739168,LAE,166
63,279692884288,279.692884288,LAE,236
64,279727044128,279.72704412800005,LAE,221
65,279759381408,279.759381408,LAE,202
66,279790836512,279.790836512,LAE,217
67,279822871328,279.822871328,LAE,233
68,279856235840,279.85623584,LAE,211
69,279887996864,279.887996864,LAE,187
70,279919511872,279.91951187200004,LAE,186
71,279951047968,279.951047968,LAE,234
