idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,3137354931616,3137.354931616,LAE,0
1,3137604809024,3137.604809024,LAE,530
2,3137855478752,3137.855478752,LAE,279
3,3138105108256,3138.105108256,LAE,198
4,3138355031680,3138.35503168,LAE,173
5,3138605176512,3138.605176512,LAE,151
6,3138854977824,3138.8549778240003,LAE,153
7,3139105671328,3139.105671328,LAE,120
8,3139355652416,3139.3556524160003,LAE,121
9,3139605315712,3139.605315712,LAE,112
10,3139855139808,3139.8551398080003,LAE,126
11,3140104998336,3140.1049983360003,LAE,85
12,3140355114144,3140.3551141440003,LAE,88
13,3140605088736,3140.605088736,LAE,97
14,3140854838464,3140.8548384640003,LAE,63
15,3141105539584,3141.1055395840003,LAE,116
16,3141355201984,3141.3552019840004,LAE,125
17,3141605114432,3141.6051144320004,LAE,30
18,3141855319712,3141.855319712,LAE,34
19,3142105057088,3142.105057088,LAE,62
20,3142355218208,3142.355218208,LAE,137
21,3142605128768,3142.605128768,LAE,203
22,3142855504512,3142.855504512,LAE,179
23,3143105199168,3143.105199168,LAE,270
24,3143354920992,3143.354920992,LAE,250
25,3143605660000,3143.60566,LAE,271
26,3143855124352,3143.855124352,LAE,246
27,3144105184576,3144.1051845760003,LAE,192
28,3144355009088,3144.3550090880003,LAE,136
29,3144605607008,3144.6056070080003,LAE,102
30,3144855467552,3144.8554675520004,LAE,108
31,3145105327296,3145.1053272960003,LAE,65
32,3145354846976,3145.3548469760003,LAE,22
33,3145605273568,3145.605273568,LAE,53
34,3145855273504,3145.8552735040003,LAE,13
35,3149355084448,3149.355084448,LAE,0
36,3149605046304,3149.605046304,LAE,56
37,3149855432032,3149.8554320320004,LAE,67
38,3150105114720,3150.10511472,LAE,67
39,3150355387392,3150.355387392,LAE,54
40,3150605710976,3150.6057109760004,LAE,65
41,3150855069664,3150.855069664,LAE,77
42,3151105081216,3151.105081216,LAE,84
43,3151354989792,3151.354989792,LAE,122
44,3151605096992,3151.605096992,LAE,160
45,3151855052352,3151.8550523520003,LAE,196
