idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,3223105248672,3223.105248672,LAE,0
1,3223355147232,3223.355147232,LAE,76
2,3223605512448,3223.6055124480004,LAE,6
3,3223855659328,3223.855659328,LAE,9
4,3224106162368,3224.1061623680002,LAE,9
5,3224355098496,3224.355098496,LAE,10
6,3224605120768,3224.6051207680002,LAE,8
7,3224854908544,3224.8549085440004,LAE,4
8,3225104944960,3225.10494496,LAE,4
9,3225355159648,3225.355159648,LAE,9
10,3225605163648,3225.605163648,LAE,14
11,3225856084640,3225.85608464,LAE,53
12,3226104982112,3226.104982112,LAE,75
13,3226354938240,3226.35493824,LAE,136
14,3226605025504,3226.6050255040004,LAE,112
15,3226855614528,3226.8556145280004,LAE,129
16,3227105673728,3227.105673728,LAE,162
17,3227355845344,3227.355845344,LAE,161
18,3227605334560,3227.6053345600003,LAE,47
19,3227855109792,3227.8551097920003,LAE,84
20,3228104894272,3228.1048942720004,LAE,159
21,3228355425088,3228.355425088,LAE,98
22,3228605304032,3228.6053040320003,LAE,61
23,3228856968064,3228.8569680640003,LAE,81
24,3229105599904,3229.1055999040004,LAE,66
25,3229355133696,3229.3551336960004,LAE,132
26,3229605715104,3229.6057151040004,LAE,29
27,3229855706720,3229.8557067200004,LAE,12
28,3230105211232,3230.1052112320003,LAE,2
29,3230355078368,3230.3550783680002,LAE,2
30,3230605279712,3230.605279712,LAE,0
31,3230855528832,3230.8555288320003,LAE,0
32,3231104898560,3231.10489856,LAE,0
33,3231354898208,3231.354898208,LAE,0
34,3231605230592,3231.605230592,LAE,0
35,3231854909792,3231.8549097920004,LAE,0
36,3232105278624,3232.105278624,LAE,0
37,3232354765952,3232.354765952,LAE,0
38,3232605414624,3232.6054146240003,LAE,0
39,3232855169376,3232.855169376,LAE,0
40,3233105279456,3233.105279456,LAE,0
41,3233355210816,3233.355210816,LAE,0
42,3233605669856,3233.605669856,LAE,0
43,3233855519584,3233.8555195840004,LAE,0
44,3234104841376,3234.1048413760004,LAE,0
45,3234354987136,3234.354987136,LAE,0
46,3234605082688,3234.605082688,LAE,2
47,3234855211328,3234.855211328,LAE,2
48,3235105233056,3235.105233056,LAE,0
49,3235354876384,3235.3548763840004,LAE,0
50,3235605638496,3235.605638496,LAE,0
51,3235855588256,3235.8555882560004,LAE,2
52,3236105008320,3236.1050083200003,LAE,91
53,3236355000512,3236.355000512,LAE,136
54,3236605219552,3236.605219552,LAE,229
