landmark_id,first_frame_idx,last_frame_idx,slots_seen,creation_depth_m
0,0,1,LAE,1.6460759822555648
1,0,1,LAE,0.7041127769388269
2,0,2,LAE,1.9576152617530551
3,0,1,LAE,1.4365297510433312
4,0,2,LAE,8.164620195629738
5,0,1,LAE,1.2822332185243208
6,0,1,LAE,8.17315192891601
7,0,2,LAE,0.6038646075051659
8,0,2,LAE,1.074816774689766
9,0,6,LAE,9.104054541375108
10,0,2,LAE,2.206668538429614
11,0,3,LAE,10.05556099671693
12,0,5,LAE,6.486436988350335
13,0,1,LAE,0.7285210601459788
14,0,1,LAE,0.9602070478802308
15,0,1,LAE,1.2669167556044263
16,0,1,LAE,0.616063020988701
17,0,7,LAE,9.140944981316993
18,0,2,LAE,1.180560026621667
19,0,1,LAE,0.6150599889712934
20,0,2,LAE,0.9172571913058073
21,0,1,LAE,50.755614666525034
22,0,3,LAE,9.736312997351833
23,0,5,LAE,6.5948273698910995
24,0,1,LAE,0.9848990767219559
25,0,3,LAE,2.120535036397991
26,0,1,LAE,1.3390552640263316
27,0,1,LAE,10.349858548514355
28,0,2,LAE,0.695527456849116
29,0,1,LAE,1.2623206032389358
30,0,2,LAE,1.3891214417716098
31,0,1,LAE,6.913375765960318
32,0,1,LAE,0.8755586961869782
33,0,3,LAE,6.562496547259283
34,0,6,LAE,6.842688483967288
35,0,4,LAE,5.631700559972456
36,0,1,LAE,7.342860804931406
37,0,1,LAE,10.846046582374518
38,0,2,LAE,1.0612158708064239
39,0,2,LAE,10.527720596293392
40,0,1,LAE,1.0304925136232488
41,0,3,LAE,1.868693237395568
42,0,3,LAE,6.3996997462991505
43,0,1,LAE,0.6199732954547965
44,0,2,LAE,7.547984809522827
45,0,1,LAE,1.0934646930793854
46,0,3,LAE,9.250027998880793
47,0,1,LAE,7.029472597617964
48,0,1,LAE,0.8881700277883549
49,0,2,LAE,5.278662968105668
50,0,2,LAE,2.694001228264988
51,0,3,LAE,9.362815340803932
52,0,1,LAE,1.1863371236927907
53,0,1,LAE,0.66831051211309
54,0,3,LAE,2.027247551329502
55,0,2,LAE,1.5716573789577248
56,0,1,LAE,0.7505879082255688
57,0,1,LAE,0.7101020659228036
58,0,1,LAE,1.0293197581250977
59,0,2,LAE,8.383852911260435
60,0,1,LAE,0.6714710364076042
61,0,3,LAE,7.57166865278652
62,0,3,LAE,5.584939826130791
63,0,1,LAE,0.9513172775422799
64,0,2,LAE,1.0720550943858707
65,0,1,LAE,0.6246966807143022
66,0,1,LAE,2.193706174865626
67,0,1,LAE,3.3905455872790915
68,0,1,LAE,1.257036127574565
69,0,2,LAE,2.2343140309489504
70,0,1,LAE,0.6796544960864892
71,0,1,LAE,0.6801259057751345
72,0,1,LAE,1.135665565664641
73,0,2,LAE,6.588074077647621
74,0,1,LAE,0.6753811993876813
75,0,1,LAE,1.6621043051830235
76,0,1,LAE,0.8796405193261357
77,0,1,LAE,0.934544530429407
78,0,1,LAE,1.8753575123274149
79,0,1,LAE,1.0583086988403612
80,0,1,LAE,0.7261526116375135
81,0,1,LAE,8.307474656896481
82,0,1,LAE,5.903985073663561
83,0,3,LAE,2.6600357702265565
84,0,3,LAE,11.93710147305442
85,0,1,LAE,0.7748413592530212
86,0,2,LAE,8.004275802421366
87,0,1,LAE,1.7705921739018664
88,0,2,LAE,1.0024045444447258
89,0,2,LAE,10.805089205495701
90,0,4,LAE,6.625766339852237
91,0,2,LAE,0.9892297588908426
92,0,1,LAE,5.5635509687813505
93,0,1,LAE,8.863451638283923
94,0,5,LAE,34.432126884608756
95,0,1,LAE,7.745889232772335
96,0,1,LAE,1.09395669528137
97,0,6,LAE,10.034027795496424
98,0,1,LAE,1.3448478865774962
99,0,1,LAE,3.6647435532883796
100,0,2,LAE,1.1918905092629393
101,0,1,LAE,1.1304473372917654
102,0,3,LAE,8.489697872849444
103,0,4,LAE,4.955238991338334
104,0,1,LAE,1.4218940655890477
105,0,1,LAE,1.3067801115468387
106,0,1,LAE,8.00259171937184
107,0,1,LAE,0.7468414283620065
108,0,1,LAE,7.20636527723467
109,0,2,LAE,1.0337861876967127
110,0,1,LAE,1.965815467116364
111,0,1,LAE,1.241436335033965
112,0,1,LAE,1.7788476073745618
113,0,1,LAE,1.8370432860761983
114,0,1,LAE,7.676910041736586
115,0,1,LAE,1.0871034533654071
116,0,1,LAE,0.6259442080835622
117,0,1,LAE,4.060288802162755
118,0,1,LAE,1.4090919068726158
119,0,1,LAE,8.952146420889623
120,0,3,LAE,1.5899280523809642
