idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,1059911039712,1059.911039712,LAE,0
1,1060161124128,1060.161124128,LAE,108
2,1060410964608,1060.410964608,LAE,25
3,1060661182464,1060.6611824640001,LAE,12
4,1060910704768,1060.910704768,LAE,8
5,1061161027296,1061.1610272960002,LAE,4
6,1061410773920,1061.41077392,LAE,13
7,1061661417472,1061.661417472,LAE,10
8,1061910968256,1061.9109682560002,LAE,7
9,1062160951648,1062.160951648,LAE,7
10,1062410843328,1062.410843328,LAE,4
11,1062660364096,1062.660364096,LAE,31
12,1062911167168,1062.911167168,LAE,51
13,1063160858112,1063.1608581120001,LAE,92
14,1063410368000,1063.410368,LAE,142
15,1063660839616,1063.660839616,LAE,113
16,1063911329792,1063.911329792,LAE,149
17,1064160932192,1064.160932192,LAE,203
18,1064410784672,1064.410784672,LAE,183
19,1064660891776,1064.660891776,LAE,65
20,1064911124544,1064.9111245440001,LAE,133
21,1065161412960,1065.16141296,LAE,132
22,1065411078080,1065.4110780800002,LAE,128
23,1065660715040,1065.66071504,LAE,135
24,1065911182592,1065.9111825920002,LAE,119
25,1066160623392,1066.1606233920002,LAE,92
26,1066410888384,1066.4108883840001,LAE,60
27,1066660976512,1066.6609765120002,LAE,68
28,1066911057504,1066.9110575040002,LAE,62
29,1067160955680,1067.1609556800001,LAE,4
30,1067410837664,1067.4108376640002,LAE,0
31,1067661052448,1067.661052448,LAE,0
32,1067910666752,1067.910666752,LAE,2
33,1068160938976,1068.1609389760001,LAE,2
34,1068410746784,1068.4107467840001,LAE,0
35,1068661082304,1068.661082304,LAE,0
36,1068911241280,1068.91124128,LAE,0
37,1069160801472,1069.160801472,LAE,0
38,1069411134432,1069.4111344320002,LAE,0
39,1069660609824,1069.6606098240002,LAE,0
40,1069910878112,1069.910878112,LAE,0
41,1070163516032,1070.163516032,LAE,0
42,1070411352032,1070.411352032,LAE,0
43,1070660962688,1070.6609626880002,LAE,0
44,1070910995456,1070.9109954560001,LAE,0
45,1071161384128,1071.161384128,LAE,0
46,1071410904960,1071.4109049600002,LAE,0
47,1071660952416,1071.660952416,LAE,0
48,1071911058688,1071.9110586880001,LAE,0
49,1072160891616,1072.160891616,LAE,0
50,1072411234720,1072.41123472,LAE,0
51,1072660659584,1072.660659584,LAE,0
52,1072910754752,1072.910754752,LAE,0
53,1073160860512,1073.160860512,LAE,0
54,1073410798624,1073.410798624,LAE,0
55,1073660794176,1073.660794176,LAE,0
56,1073910859648,1073.910859648,LAE,2
57,1074161232736,1074.161232736,LAE,0
58,1074410962944,1074.4109629440002,LAE,0
59,1074660949344,1074.660949344,LAE,0
60,1074910883552,1074.910883552,LAE,2
61,1075162261216,1075.1622612160002,LAE,0
62,1075410900384,1075.4109003840001,LAE,0
63,1075661477152,1075.661477152,LAE,2
64,1075910492352,1075.9104923520001,LAE,2
65,1076159691104,1076.159691104,LAE,9
66,1076409510720,1076.40951072,LAE,2
67,1076659488768,1076.659488768,LAE,4
68,1076909365504,1076.909365504,LAE,1
