landmark_id,first_frame_idx,last_frame_idx,slots_seen,creation_depth_m
0,0,1,MAE|SAE,1.9938809554980352
1,0,1,MAE|SAE,1.7741827771814536
2,0,1,MAE|SAE,2.1638640801352094
3,0,1,MAE|SAE,2.0327969148016374
4,0,1,MAE|SAE,1.6707675844572305
5,0,1,MAE|SAE,1.8585027230945481
6,0,1,MAE|SAE,1.5244415586656226
7,0,1,MAE|SAE,1.743970331332048
8,0,2,LAE|MAE|SAE,6.226195354215394
9,1,4,LAE|MAE|SAE,6.6995691280087515
10,1,2,LAE|MAE,3.3818174507204404
11,3,4,MAE|SAE,3.368748062647492
12,3,5,MAE|SAE,5.290862213140731
13,3,4,MAE|SAE,3.1787497379752034
14,3,5,MAE|SAE,5.715190463940445
15,3,4,MAE|SAE,2.8342191895879605
16,2,5,LAE|MAE,3.687472715702486
17,4,5,MAE|SAE,23.522796961363063
18,4,5,MAE|SAE,57.0767587903424
19,5,6,LAE|MAE,32.38301391764727
20,5,6,LAE|MAE,52.23933042998239
21,6,7,LAE|MAE,37.95144335441344
22,6,8,LAE|MAE|SAE,55.655980879982586
23,8,13,LAE|MAE|SAE,39.86093046625025
24,8,13,LAE|MAE|SAE,59.84707036671703
25,8,13,LAE|MAE|SAE,40.195493770470364
26,8,13,MAE|SAE,45.49000979367066
27,9,10,LAE|MAE,50.975260118530244
28,9,11,LAE|MAE,43.155988741894014
29,9,10,LAE|MAE,42.02092447519133
30,9,12,LAE|MAE|SAE,38.80799727951204
31,9,10,LAE|MAE,44.440325971635154
32,9,12,LAE|MAE|SAE,51.144127168021974
33,9,12,LAE|MAE|SAE,40.96197297472316
34,9,12,LAE|MAE|SAE,35.91317773588341
35,9,14,LAE|MAE|SAE,52.65111882400378
36,9,10,LAE|MAE,38.78594784147071
37,9,11,LAE|MAE,47.62957680249057
38,9,11,LAE|MAE,36.610837553410654
39,9,12,LAE|MAE|SAE,31.694759366019476
40,9,12,MAE|SAE,39.204583021437195
41,9,11,MAE,39.57647219732362
42,10,11,LAE|MAE,27.287069652540954
43,10,11,LAE|MAE,51.267960422761874
44,10,12,LAE|MAE|SAE,33.85922590068384
45,10,11,LAE|MAE,52.90591956578524
46,10,11,LAE|MAE,19.235704439036823
47,10,12,LAE|MAE|SAE,36.4492153013956
