idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,2365397843872,2365.397843872,MAE,0
1,2365646139872,2365.6461398720003,LAE,204
2,2365897669856,2365.897669856,MAE,143
3,2366150401568,2366.1504015680002,SAE,126
4,2366397837088,2366.397837088,MAE,64
5,2366646651808,2366.646651808,LAE,51
6,2366898270144,2366.898270144,MAE,67
7,2367150669952,2367.150669952,SAE,64
8,2367398160480,2367.39816048,MAE,115
9,2367646743328,2367.646743328,LAE,91
10,2367898706816,2367.898706816,LAE,168
11,2368150763328,2368.1507633280003,SAE,87
12,2368401319200,2368.4013192,MAE,304
13,2368650174752,2368.650174752,LAE,260
14,2368901130784,2368.901130784,MAE,181
15,2369150711552,2369.1507115520003,SAE,124
16,2369401068160,2369.4010681600002,MAE,148
17,2369651093184,2369.6510931840003,LAE,59
18,2369900300096,2369.900300096,MAE,42
19,2370150544064,2370.1505440640003,SAE,74
20,2370400595104,2370.4005951040003,MAE,103
21,2370650569504,2370.650569504,LAE,103
22,2370900350880,2370.90035088,MAE,130
23,2371150846176,2371.150846176,SAE,100
24,2371401332864,2371.4013328640003,MAE,11
25,2371650230144,2371.650230144,LAE,136
26,2371900639744,2371.9006397440003,MAE,134
27,2372150534496,2372.150534496,SAE,0
28,2372400700800,2372.4007008000003,MAE,0
29,2372650757184,2372.650757184,LAE,8
30,2372900170016,2372.900170016,MAE,0
31,2373150466880,2373.1504668800003,SAE,0
32,2373401274272,2373.401274272,MAE,0
33,2373650563232,2373.650563232,LAE,6
34,2373900418464,2373.9004184640003,MAE,0
35,2374150253152,2374.150253152,SAE,0
36,2374400571264,2374.400571264,MAE,0
37,2374650636640,2374.6506366400004,LAE,0
38,2374900741120,2374.90074112,MAE,0
39,2375150497728,2375.150497728,SAE,4
40,2375400886784,2375.4008867840002,MAE,4
41,2375650319296,2375.6503192960004,LAE,19
42,2375900222240,2375.90022224,MAE,3
43,2376150426016,2376.150426016,SAE,0
44,2376401250848,2376.401250848,MAE,7
45,2376649078528,2376.6490785280002,LAE,3
46,2376900720512,2376.900720512,SAE,1
47,2377150315072,2377.150315072,SAE,6
48,2377400531808,2377.4005318080003,MAE,6
49,2377647895136,2377.647895136,LAE,8
50,2377900486592,2377.900486592,MAE,19
51,2378150829760,2378.1508297600003,SAE,31
52,2378400839744,2378.400839744,SAE,81
53,2378647261984,2378.647261984,LAE,14
