idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,430539746400,430.5397464,MAE,0
1,430575819168,430.575819168,LAE,10
2,430617458016,430.617458016,MAE,364
3,430681114080,430.68111408000004,MAE,300
4,430727574784,430.727574784,LAE,281
5,430768352064,430.76835206400006,MAE,205
6,430831004704,430.831004704,MAE,266
7,430867291968,430.867291968,LAE,156
8,430908164576,430.90816457600005,MAE,194
9,430970846688,430.97084668800005,MAE,209
10,431007239936,431.007239936,LAE,179
11,431049621504,431.049621504,MAE,217
12,431112643424,431.11264342400005,MAE,250
13,431148964992,431.148964992,LAE,192
14,431189500768,431.189500768,MAE,186
15,431252427744,431.25242774400004,MAE,235
16,431290122656,431.29012265600005,LAE,206
17,431331067648,431.33106764800004,MAE,182
18,431394856160,431.39485616,MAE,226
19,431431182176,431.43118217600005,LAE,152
20,431473176832,431.47317683200004,MAE,182
21,431536363840,431.53636384000004,MAE,209
22,431576716736,431.57671673600004,LAE,172
23,431621776512,431.62177651200005,MAE,135
24,431685332512,431.685332512,MAE,141
25,431721830144,431.721830144,LAE,163
26,431762509632,431.76250963200005,MAE,165
27,431825646368,431.82564636800004,MAE,178
28,431863609952,431.86360995200005,LAE,180
29,431904229792,431.904229792,MAE,150
30,431968339968,431.968339968,MAE,153
31,432004482976,432.004482976,LAE,206
32,432045720768,432.045720768,MAE,169
33,432109021024,432.109021024,MAE,203
34,432145762208,432.145762208,LAE,204
35,432187739232,432.187739232,MAE,141
36,432252242112,432.25224211200003,MAE,150
37,432288775168,432.28877516800003,LAE,167
38,432330821504,432.330821504,MAE,125
39,432393833504,432.39383350400004,MAE,168
40,432430533824,432.430533824,LAE,152
41,432471321312,432.47132131200004,MAE,126
42,432543542112,432.543542112,MAE,143
43,432581664928,432.581664928,LAE,226
44,432622647584,432.62264758400005,MAE,111
45,432686468576,432.68646857600004,MAE,115
46,432723246272,432.72324627200004,LAE,184
47,432763923872,432.763923872,MAE,123
48,432828613440,432.82861344,MAE,173
49,432864941184,432.86494118400003,LAE,208
50,432906293664,432.90629366400003,MAE,128
51,432969231968,432.96923196800003,MAE,151
52,433006652384,433.006652384,LAE,178
53,433048230528,433.04823052800003,MAE,142
54,433120171360,433.12017136000003,MAE,174
55,433156772704,433.15677270400005,LAE,165
56,433197797760,433.19779776,MAE,135
57,433269362880,433.26936288,MAE,142
58,433306007008,433.30600700800005,LAE,175
59,433347526944,433.34752694400004,MAE,152
60,433410259456,433.410259456,MAE,183
61,433446703648,433.44670364800004,LAE,200
62,433487631488,433.48763148800003,MAE,193
63,433550711360,433.55071136000004,MAE,226
64,433587100800,433.58710080000003,LAE,176
65,433628617280,433.62861728,MAE,122
66,433694332192,433.69433219200005,MAE,172
67,433730766944,433.73076694400004,LAE,175
68,433771236928,433.771236928,MAE,114
69,433834429952,433.83442995200005,MAE,268
70,433870856384,433.87085638400004,LAE,187
71,433911580480,433.91158048000005,MAE,232
72,433974746656,433.97474665600004,MAE,293
73,434011386944,434.01138694400004,LAE,213
74,434051876960,434.05187696,MAE,135
75,434114934048,434.114934048,MAE,186
76,434152053984,434.152053984,LAE,152
77,434194427200,434.1944272,MAE,165
78,434258180608,434.25818060800003,MAE,259
79,434303153568,434.303153568,LAE,220
80,434344736256,434.34473625600003,MAE,261
81,434407817632,434.40781763200005,MAE,277
82,434444558336,434.444558336,LAE,226
83,434486837888,434.486837888,MAE,180
84,434550559136,434.550559136,MAE,180
85,434587405152,434.58740515200003,LAE,218
86,434627788832,434.627788832,MAE,177
87,434690115424,434.69011542400006,MAE,314
88,434726836832,434.726836832,LAE,155
89,434768624000,434.76862400000005,MAE,223
90,434832493856,434.83249385600004,MAE,157
91,434870466496,434.870466496,LAE,142
92,434910720512,434.910720512,MAE,136
93,434973891456,434.97389145600005,MAE,220
94,435010536256,435.010536256,LAE,258
95,435051218368,435.05121836800004,MAE,193
96,435114519872,435.114519872,MAE,128
97,435151011328,435.15101132800004,LAE,102
98,435191845056,435.19184505600003,MAE,194
99,435255277920,435.25527792,MAE,248
100,435291856032,435.29185603200006,LAE,141
101,435332255456,435.33225545600004,MAE,242
102,435363893088,435.36389308800005,SAE,44
103,435395494912,435.395494912,MAE,163
104,435432274272,435.43227427200003,LAE,212
105,435473900352,435.47390035200004,MAE,313
106,435505863168,435.505863168,SAE,229
107,435539133792,435.53913379200003,MAE,350
108,435575453984,435.57545398400003,LAE,120
109,435616473024,435.616473024,MAE,388
