idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,1467516133120,1467.5161331200002,MAE,0
1,1467762077888,1467.762077888,LAE,60
2,1468015743360,1468.01574336,MAE,30
3,1468265826272,1468.2658262720001,SAE,0
4,1468515789536,1468.515789536,MAE,0
5,1468761570720,1468.76157072,LAE,6
6,1469015572320,1469.01557232,MAE,1
7,1469265881152,1469.265881152,SAE,0
8,1469516121888,1469.516121888,MAE,0
9,1469761448768,1469.761448768,LAE,0
10,1470016160384,1470.0161603840002,MAE,2
11,1470265933024,1470.265933024,SAE,0
12,1470516049056,1470.5160490560002,MAE,4
13,1470761935968,1470.761935968,LAE,12
14,1471016118080,1471.01611808,MAE,56
15,1471266299456,1471.266299456,SAE,8
16,1471515845216,1471.5158452160001,MAE,23
17,1471761817792,1471.761817792,LAE,44
18,1472016049152,1472.016049152,MAE,69
19,1472266342848,1472.266342848,SAE,8
20,1472515920704,1472.515920704,MAE,66
21,1472761553152,1472.761553152,LAE,7
22,1473015865728,1473.015865728,MAE,75
23,1473265819584,1473.2658195840002,SAE,10
24,1473515784864,1473.5157848640001,MAE,37
25,1473761687296,1473.761687296,LAE,34
26,1474016215296,1474.0162152960002,MAE,6
27,1474269857856,1474.269857856,SAE,30
28,1474516059456,1474.516059456,MAE,21
29,1474761602336,1474.7616023360001,LAE,18
30,1475015846272,1475.015846272,MAE,39
31,1475265608672,1475.265608672,SAE,5
32,1475516915968,1475.5169159680001,MAE,35
33,1475762142816,1475.762142816,LAE,37
34,1476016293120,1476.01629312,MAE,39
35,1476265821088,1476.2658210880002,SAE,0
36,1476515796224,1476.515796224,MAE,0
37,1476761898208,1476.761898208,LAE,0
38,1477016085792,1477.016085792,MAE,0
39,1477265854016,1477.265854016,SAE,0
40,1477516107616,1477.516107616,MAE,0
41,1477761592544,1477.761592544,LAE,36
42,1478015801664,1478.015801664,MAE,0
43,1478265851200,1478.2658512,SAE,0
44,1478516159584,1478.516159584,MAE,0
45,1478761865056,1478.761865056,LAE,0
46,1479016356256,1479.016356256,MAE,0
47,1479265967392,1479.265967392,SAE,0
48,1479515783648,1479.515783648,MAE,0
49,1479761794304,1479.7617943040002,LAE,6
50,1480015815808,1480.015815808,MAE,0
51,1480266232256,1480.2662322560002,SAE,0
52,1480516057824,1480.5160578240002,MAE,0
53,1480762065504,1480.762065504,LAE,10
54,1481015949856,1481.0159498560001,MAE,0
55,1481266344448,1481.2663444480002,SAE,0
