idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,2296646426720,2296.6464267200004,LAE,0
1,2296898233440,2296.8982334400002,MAE,336
2,2297150608288,2297.150608288,SAE,130
3,2297398296192,2297.398296192,MAE,193
4,2297647087296,2297.6470872960003,LAE,199
5,2297898437088,2297.8984370880003,MAE,187
6,2298150987840,2298.15098784,SAE,120
7,2298397891968,2298.3978919680003,MAE,148
8,2298646595104,2298.646595104,LAE,112
9,2298898246144,2298.898246144,MAE,97
10,2299150224960,2299.1502249600003,SAE,98
11,2299397757088,2299.397757088,MAE,112
12,2299646693696,2299.646693696,LAE,117
13,2299898285312,2299.898285312,MAE,111
14,2300150168512,2300.150168512,SAE,132
15,2300398066560,2300.39806656,MAE,157
16,2300646364960,2300.64636496,LAE,127
17,2300898739104,2300.898739104,MAE,129
18,2301150871744,2301.150871744,SAE,77
19,2301399192960,2301.39919296,MAE,59
20,2301646937920,2301.6469379200003,LAE,53
21,2301900679744,2301.900679744,MAE,122
22,2302150202912,2302.150202912,SAE,181
23,2302400156128,2302.400156128,MAE,238
24,2302649045280,2302.6490452800003,LAE,166
25,2302900381120,2302.90038112,MAE,170
26,2303150114752,2303.1501147520003,SAE,168
27,2303401199040,2303.40119904,MAE,311
28,2303649669024,2303.649669024,LAE,200
29,2303900184160,2303.90018416,MAE,155
30,2304150464256,2304.1504642560003,SAE,109
31,2304400544416,2304.4005444160002,MAE,91
32,2304650000000,2304.65,LAE,235
33,2304900206592,2304.9002065920004,MAE,154
34,2305151066016,2305.151066016,SAE,58
35,2305400630720,2305.40063072,MAE,88
36,2305650220512,2305.650220512,LAE,169
37,2305900140288,2305.9001402880003,MAE,49
38,2306401120576,2306.4011205760003,MAE,56
39,2306650468288,2306.650468288,LAE,132
40,2306900162400,2306.9001624,MAE,263
41,2307400683360,2307.40068336,MAE,132
42,2307649406816,2307.649406816,LAE,78
43,2307900139872,2307.900139872,SAE,66
44,2308150494848,2308.150494848,SAE,99
45,2308399452512,2308.399452512,MAE,86
46,2308647951648,2308.6479516480003,LAE,94
47,2308899216064,2308.899216064,MAE,111
48,2309150450560,2309.15045056,SAE,97
49,2309398473216,2309.398473216,MAE,114
50,2309647432448,2309.647432448,LAE,128
51,2309898642112,2309.8986421120003,MAE,84
52,2310150231616,2310.150231616,SAE,61
53,2310398261312,2310.398261312,MAE,123
54,2310646758048,2310.6467580480003,LAE,112
55,2310897984384,2310.897984384,MAE,100
56,2311150430912,2311.150430912,SAE,70
57,2311397526272,2311.397526272,SAE,98
58,2311646187136,2311.646187136,LAE,70
59,2311896429952,2311.8964299520003,MAE,257
60,2312147233184,2312.147233184,SAE,200
61,2312396440672,2312.396440672,MAE,281
62,2312645901408,2312.645901408,LAE,261
