idx,timestamp_ns,timestamp_s,slot_label,n_landmark_observations
0,357410610752,357.410610752,MAE,0
1,357510982336,357.51098233600004,MAE,546
2,357543419648,357.543419648,SAE,0
3,357575507168,357.575507168,MAE,429
4,357657692320,357.65769232,MAE,381
5,357690429952,357.69042995200004,SAE,556
6,357724137504,357.724137504,MAE,343
7,357807556000,357.80755600000003,MAE,406
8,357839575712,357.839575712,SAE,361
9,357873737920,357.87373792,MAE,360
10,357962908864,357.96290886400004,MAE,380
11,357997507872,357.997507872,SAE,376
12,358029577984,358.029577984,MAE,348
13,358113226336,358.113226336,MAE,359
14,358144861472,358.144861472,SAE,375
15,358179159680,358.17915968,MAE,336
16,358262500160,358.26250016,MAE,376
17,358300019872,358.300019872,SAE,339
18,358331869344,358.33186934400004,MAE,336
19,358414892896,358.414892896,MAE,365
20,358448314368,358.448314368,SAE,373
21,358480237504,358.480237504,MAE,343
22,358587121312,358.587121312,MAE,365
23,358619134944,358.619134944,SAE,351
24,358651390624,358.65139062400004,MAE,344
25,358737108000,358.73710800000003,MAE,378
26,358770428768,358.77042876800004,SAE,398
27,358802219776,358.802219776,MAE,337
28,358886790464,358.886790464,MAE,360
29,358919144640,358.91914464,SAE,330
30,358975902624,358.975902624,MAE,330
31,359061303872,359.061303872,MAE,397
32,359093762944,359.09376294400005,SAE,327
33,359126711584,359.126711584,MAE,341
34,359207996768,359.20799676800004,MAE,335
35,359239778272,359.239778272,SAE,375
36,359273735712,359.273735712,MAE,350
37,359356309728,359.35630972800004,MAE,383
38,359388521984,359.388521984,SAE,375
39,359422480416,359.42248041600004,MAE,360
40,359510379392,359.510379392,MAE,352
41,359542215136,359.54221513600004,SAE,331
42,359574322528,359.57432252800004,MAE,295
43,359655996672,359.655996672,MAE,268
44,359687640896,359.687640896,SAE,280
45,359719633888,359.71963388800003,MAE,226
46,359801563520,359.80156352,MAE,258
47,359834472288,359.83447228800003,SAE,313
48,359866910688,359.866910688,MAE,237
49,359959555680,359.95955568,MAE,264
50,359991174432,359.99117443200004,SAE,275
51,360024260288,360.02426028800005,MAE,243
52,360106577952,360.106577952,MAE,272
53,360138620384,360.13862038400003,SAE,267
54,360171123296,360.171123296,MAE,245
55,360251702400,360.2517024,MAE,240
56,360283911680,360.28391168,SAE,236
57,360316003136,360.316003136,MAE,249
58,360397651616,360.397651616,MAE,255
59,360452574432,360.452574432,SAE,267
60,360485206976,360.48520697600003,MAE,212
61,360566680704,360.566680704,MAE,225
62,360599820224,360.59982022400004,SAE,255
63,360638132672,360.63813267200004,MAE,237
64,360723955168,360.72395516800003,MAE,248
65,360758201568,360.758201568,SAE,280
66,360790363808,360.790363808,MAE,263
67,360871158624,360.87115862400003,MAE,271
68,360903153600,360.9031536,SAE,227
69,360937598912,360.937598912,MAE,250
70,361018705408,361.018705408,MAE,264
71,361052243040,361.05224304,SAE,273
72,361087386464,361.087386464,MAE,244
73,361187932608,361.18793260800004,MAE,257
74,361222043520,361.22204352,SAE,220
75,361257898944,361.25789894400003,MAE,240
76,361340215008,361.34021500800003,MAE,237
77,361373118880,361.37311888000005,SAE,254
78,361404994080,361.40499408,MAE,269
79,361490005632,361.490005632,MAE,282
80,361521872160,361.52187216000004,SAE,226
81,361558946176,361.558946176,MAE,226
82,361646461088,361.646461088,MAE,265
83,361681309920,361.68130992000005,SAE,190
84,361715375616,361.715375616,MAE,251
85,361800044448,361.800044448,MAE,265
86,361831765600,361.83176560000004,SAE,250
87,361867402624,361.867402624,MAE,267
88,361955943808,361.95594380800003,MAE,174
89,361990899968,361.990899968,SAE,197
90,362023594688,362.023594688,MAE,270
91,362107745056,362.107745056,MAE,260
92,362141122720,362.14112272,SAE,359
93,362173500512,362.17350051200003,MAE,244
94,362264177664,362.26417766400004,MAE,263
95,362296539584,362.296539584,SAE,345
96,362336156256,362.33615625600004,MAE,234
97,362441268992,362.441268992,MAE,197
98,362473382528,362.473382528,SAE,281
99,362514015488,362.51401548800004,MAE,212
100,362596807872,362.596807872,MAE,163
101,362631676160,362.63167616000004,SAE,201
102,362663574144,362.663574144,MAE,188
103,362747242112,362.74724211200004,MAE,185
104,362781045760,362.78104576000004,SAE,207
105,362816066592,362.816066592,MAE,196
106,362902684800,362.90268480000003,MAE,229
107,362937631200,362.9376312,SAE,191
108,362971464064,362.97146406400003,MAE,240
109,363061341824,363.061341824,MAE,175
110,363096805984,363.096805984,SAE,120
111,363129913088,363.129913088,MAE,223
112,363214644768,363.214644768,MAE,180
113,363246604864,363.246604864,SAE,351
114,363279102304,363.27910230400005,MAE,211
115,363387405664,363.387405664,MAE,222
116,363419371200,363.4193712,SAE,215
117,363451661568,363.451661568,MAE,306
118,363537567296,363.537567296,MAE,289
119,363572014112,363.57201411200003,SAE,417
120,363612779872,363.61277987200003,MAE,239
121,363700149952,363.700149952,MAE,237
122,363733766240,363.73376624,SAE,307
123,363766539232,363.766539232,MAE,244
124,363858654688,363.858654688,MAE,293
125,363893648544,363.89364854400003,SAE,245
126,363938583136,363.93858313600003,MAE,377
127,364036110016,364.036110016,MAE,395
128,364069540736,364.069540736,SAE,299
129,364133137504,364.13313750400005,MAE,365
130,364220844128,364.220844128,MAE,426
131,364258315936,364.25831593600003,SAE,359
132,364292081824,364.29208182400004,MAE,428
133,364377784032,364.377784032,MAE,417
134,364435734016,364.435734016,SAE,431
135,364468679424,364.468679424,MAE,448
136,364557126528,364.557126528,MAE,384
137,364621882848,364.62188284800004,MAE,387
138,364708768992,364.70876899200005,MAE,376
139,364741252832,364.74125283200004,SAE,33
140,364777692256,364.777692256,MAE,403
141,364867100960,364.86710096,MAE,384
142,364901577632,364.901577632,SAE,666
143,364935303424,364.93530342400004,MAE,367
144,365044701920,365.04470192,MAE,460
145,365077331136,365.077331136,SAE,502
146,365113089152,365.11308915200004,MAE,477
147,365198674912,365.198674912,MAE,518
148,365232050304,365.23205030400004,SAE,502
149,365264768096,365.264768096,MAE,507
150,365351585664,365.351585664,MAE,535
151,365386250592,365.386250592,SAE,510
152,365421347360,365.42134736,MAE,510
153,365516848000,365.51684800000004,MAE,549
154,365550277344,365.55027734400005,SAE,492
155,365583630368,365.583630368,MAE,504
156,365691974432,365.691974432,MAE,523
157,365749558528,365.749558528,SAE,491
158,365782171776,365.78217177600004,MAE,513
159,365869993760,365.86999376,MAE,542
160,365905351840,365.90535184000004,SAE,441
161,365942343680,365.94234368,MAE,526
162,366034665952,366.034665952,MAE,512
163,366066743712,366.066743712,SAE,408
164,366099756736,366.099756736,MAE,484
165,366185901088,366.18590108800004,MAE,471
166,366218835968,366.218835968,SAE,405
167,366251315264,366.251315264,MAE,470
168,366334451232,366.33445123200005,MAE,482
169,366371161248,366.371161248,SAE,411
170,366406425760,366.40642576000005,MAE,472
171,366513697216,366.513697216,MAE,439
172,366549468128,366.549468128,SAE,404
173,366583231168,366.583231168,MAE,440
174,366674738624,366.67473862400004,MAE,374
175,366709708192,366.70970819200005,SAE,401
176,366764862240,366.76486224,MAE,250
177,366849807520,366.84980752,MAE,274
178,366883128832,366.883128832,SAE,441
179,366918182464,366.91818246400004,MAE,183
180,366961233024,366.961233024,LAE,244
181,367014431136,367.01443113600004,MAE,265
182,367046220064,367.046220064,SAE,376
183,367105020928,367.10502092800004,MAE,262
184,367149198944,367.14919894400003,LAE,430
185,367191922976,367.191922976,MAE,263
186,367231851360,367.23185136,SAE,377
187,367266525376,367.266525376,MAE,269
188,367308305920,367.30830592,LAE,397
189,367350112832,367.35011283200004,MAE,245
190,367387526272,367.387526272,SAE,422
191,367420249728,367.42024972800004,MAE,232
192,367462827648,367.46282764800003,LAE,363
193,367506153024,367.506153024,MAE,196
194,367538226208,367.538226208,SAE,372
195,367585757216,367.58575721600005,MAE,226
196,367627757664,367.627757664,LAE,341
197,367669150336,367.66915033600003,MAE,236
198,367701775808,367.70177580800004,SAE,330
199,367733708480,367.73370848,MAE,179
200,367776190368,367.776190368,LAE,292
201,367825749248,367.825749248,MAE,184
202,367898197024,367.898197024,MAE,197
203,367939551808,367.93955180800003,LAE,346
204,367984065312,367.98406531200004,MAE,157
205,368018356928,368.018356928,SAE,0
206,368051610560,368.05161056000003,MAE,180
207,368086706880,368.08670688,LAE,306
208,368118532512,368.118532512,MAE,143
209,368151589728,368.15158972800003,SAE,272
210,368189929184,368.18992918400005,MAE,150
211,368221842624,368.22184262400003,LAE,261
212,368288439808,368.288439808,MAE,98
213,368321296800,368.3212968,SAE,159
214,368355030496,368.35503049600004,MAE,120
215,368393680160,368.39368016000003,LAE,168
216,368430520096,368.430520096,MAE,142
217,368488263616,368.48826361600004,SAE,135
218,368520345792,368.520345792,MAE,137
219,368555498880,368.55549888,LAE,185
220,368589344064,368.58934406400004,MAE,142
221,368646603808,368.646603808,SAE,49
222,368678365184,368.67836518400003,MAE,152
223,368714703168,368.714703168,LAE,178
224,368774048768,368.774048768,MAE,195
225,368807917952,368.807917952,SAE,43
226,368841079360,368.84107936000004,MAE,200
227,368878574016,368.878574016,LAE,197
228,368910543424,368.910543424,MAE,184
229,368946178656,368.94617865600003,SAE,151
230,368982326720,368.98232672,MAE,194
231,369025918240,369.02591824,LAE,223
232,369061959232,369.06195923200005,MAE,252
233,369096932544,369.096932544,SAE,44
234,369132563456,369.132563456,MAE,289
235,369165640864,369.165640864,LAE,226
236,369205794208,369.20579420800004,MAE,318
237,369248662464,369.248662464,SAE,109
238,369289769664,369.289769664,MAE,290
239,369324936128,369.32493612800005,LAE,222
240,369363083616,369.36308361600004,MAE,284
241,369398477632,369.39847763200004,SAE,50
242,369430206400,369.43020640000003,MAE,295
243,369468622816,369.46862281600005,LAE,193
244,369505375776,369.50537577600005,MAE,291
245,369541293888,369.54129388800004,SAE,78
246,369583854208,369.58385420800005,MAE,275
247,369645673440,369.64567344,LAE,219
248,369686028352,369.68602835200005,MAE,300
249,369718554848,369.718554848,SAE,59
250,369758371776,369.75837177600005,MAE,284
251,369798387136,369.79838713600003,LAE,238
252,369833319488,369.83331948800003,MAE,330
253,369866248832,369.866248832,SAE,109
254,369905495136,369.905495136,MAE,303
255,369938482912,369.93848291200004,LAE,242
256,369979041312,369.97904131200005,MAE,350
257,370015137792,370.015137792,SAE,90
258,370049637888,370.049637888,MAE,346
259,370089585536,370.089585536,LAE,233
260,370123528384,370.123528384,MAE,381
261,370157145824,370.157145824,SAE,115
262,370195356896,370.195356896,MAE,380
263,370235608608,370.235608608,LAE,261
264,370268942240,370.26894224,MAE,407
265,370302493056,370.302493056,SAE,150
266,370335992192,370.33599219200005,MAE,413
267,370395298432,370.395298432,LAE,248
268,370427188832,370.427188832,MAE,409
269,370460649184,370.46064918400003,SAE,144
270,370496086144,370.496086144,MAE,425
271,370528459520,370.52845952,LAE,281
272,370565898112,370.565898112,MAE,416
273,370606381280,370.60638128000005,SAE,160
274,370640440160,370.64044016,MAE,393
275,370676315136,370.676315136,LAE,269
276,370737247456,370.73724745600003,MAE,389
277,370770593408,370.770593408,SAE,184
278,370809048352,370.80904835200005,MAE,394
279,370846615136,370.846615136,LAE,265
280,370883660288,370.88366028800004,MAE,396
281,370921378048,370.921378048,SAE,216
282,370960542752,370.96054275200004,MAE,382
283,370993054816,370.99305481600004,LAE,308
284,371033645792,371.033645792,MAE,400
285,371066926016,371.066926016,SAE,323
286,371108238784,371.10823878400004,MAE,377
287,371142327648,371.14232764800005,LAE,325
288,371175172512,371.175172512,MAE,372
289,371207148000,371.207148,SAE,334
290,371243608256,371.243608256,MAE,361
291,371279025760,371.27902576,LAE,311
292,371318984032,371.318984032,MAE,391
293,371353374688,371.35337468800003,SAE,338
294,371392013760,371.39201376,MAE,399
295,371431270176,371.431270176,LAE,327
296,371474753472,371.47475347200003,MAE,373
297,371514097696,371.514097696,SAE,361
298,371550448448,371.550448448,MAE,408
299,371586119648,371.586119648,LAE,287
300,371620528192,371.620528192,MAE,396
301,371653394880,371.65339488,SAE,250
302,371689919200,371.6899192,MAE,393
303,371727627424,371.72762742400005,LAE,379
304,371766250656,371.766250656,MAE,389
305,371801673312,371.80167331200005,SAE,243
306,371834087840,371.83408784,MAE,384
307,371870328704,371.87032870400003,LAE,345
308,371909224800,371.9092248,MAE,410
309,371945713088,371.94571308800005,SAE,272
310,372034972128,372.03497212800005,MAE,395
311,372069133024,372.069133024,LAE,250
312,372132524928,372.132524928,MAE,417
313,372164302080,372.16430208,SAE,262
314,372203735616,372.203735616,MAE,466
315,372277335776,372.27733577600003,MAE,440
316,372339336672,372.339336672,SAE,392
317,372370866080,372.37086608000004,MAE,438
318,372480177056,372.480177056,MAE,445
319,372512215040,372.51221504,SAE,292
320,372551733728,372.55173372800004,MAE,446
321,372635566112,372.63556611200005,MAE,415
322,372672007456,372.672007456,SAE,147
323,372707957376,372.707957376,MAE,425
324,372789702176,372.78970217600005,MAE,426
325,372822793920,372.82279392000004,SAE,173
326,372857974976,372.85797497600004,MAE,363
327,372946791520,372.94679152000003,MAE,357
328,372979087008,372.979087008,SAE,117
329,373015700448,373.015700448,MAE,302
330,373103535328,373.103535328,MAE,300
331,373144909152,373.144909152,SAE,95
332,373189072000,373.189072,MAE,213
333,373294379648,373.294379648,MAE,230
334,373327476352,373.327476352,SAE,25
335,373361404032,373.361404032,MAE,238
336,373447034656,373.447034656,MAE,293
337,373481300448,373.481300448,SAE,28
338,373518011520,373.51801152,MAE,339
339,373560037984,373.560037984,LAE,186
340,373632780480,373.63278048,MAE,399
341,373667320608,373.667320608,SAE,301
342,373706554912,373.706554912,MAE,448
343,373755430400,373.7554304,LAE,242
344,373802366592,373.802366592,MAE,390
345,373840818624,373.840818624,SAE,286
346,373885866336,373.88586633600005,MAE,371
347,373927848512,373.927848512,LAE,293
348,373998204832,373.998204832,MAE,381
349,374030281984,374.030281984,SAE,34
350,374064603040,374.06460304,MAE,385
351,374110601184,374.110601184,LAE,289
352,374158840128,374.158840128,MAE,413
353,374194538336,374.19453833600005,SAE,172
354,374232625856,374.232625856,MAE,414
355,374275969888,374.275969888,LAE,306
356,374334514528,374.334514528,MAE,407
357,374381221696,374.381221696,SAE,33
358,374433736800,374.4337368,MAE,390
359,374509430912,374.509430912,LAE,233
360,374550071744,374.55007174400004,MAE,397
361,374584377952,374.584377952,SAE,28
362,374621572128,374.621572128,MAE,424
363,374662591008,374.66259100800005,LAE,52
364,374709097568,374.709097568,MAE,408
365,374746007072,374.746007072,SAE,63
366,374805446496,374.805446496,MAE,395
367,374849193504,374.849193504,LAE,113
368,374890941344,374.890941344,MAE,408
369,374922817888,374.922817888,SAE,78
370,374959891744,374.959891744,MAE,378
371,375011003040,375.01100304000005,LAE,166
372,375067877536,375.067877536,MAE,388
373,375127251744,375.12725174400003,SAE,112
374,375190163360,375.19016336000004,MAE,359
375,375278052736,375.278052736,MAE,368
376,375312860352,375.31286035200003,SAE,87
377,375349657760,375.34965776,MAE,276
378,375440267200,375.44026720000005,MAE,281
379,375473399552,375.47339955200005,SAE,74
380,375510917216,375.510917216,MAE,253
381,375546642688,375.546642688,LAE,160
382,375592211808,375.592211808,MAE,398
383,375627852320,375.62785232000004,SAE,85
384,375661803040,375.66180304,MAE,370
385,375701952096,375.701952096,LAE,160
386,375734253248,375.734253248,MAE,360
387,375778228096,375.778228096,SAE,71
388,375809973088,375.80997308800005,MAE,351
389,375849587328,375.84958732800004,LAE,202
390,375888907616,375.88890761600004,MAE,253
391,375946386176,375.94638617600003,SAE,10
392,375989094560,375.98909456,MAE,288
393,376029783968,376.029783968,LAE,248
394,376070566688,376.07056668800004,MAE,311
395,376103998656,376.10399865600004,SAE,45
396,376140003232,376.140003232,MAE,265
397,376184163200,376.1841632,LAE,236
398,376221234048,376.22123404800004,MAE,243
399,376282370496,376.282370496,SAE,45
400,376315394208,376.31539420800004,MAE,32
401,376352063968,376.35206396800004,LAE,199
402,376387870144,376.38787014400003,MAE,91
403,376433719040,376.43371904,SAE,29
404,376467791808,376.467791808,MAE,68
405,376500914496,376.500914496,LAE,251
406,376535389472,376.535389472,MAE,54
407,376593357504,376.59335750400004,SAE,2
408,376624953376,376.624953376,MAE,119
409,376657407232,376.657407232,LAE,235
410,376701801376,376.70180137600005,MAE,121
411,376740573568,376.740573568,SAE,6
412,376777018656,376.777018656,MAE,102
413,376810635616,376.810635616,LAE,250
414,376849474112,376.849474112,MAE,18
415,376882780544,376.882780544,SAE,0
416,376916066720,376.91606672,MAE,88
417,376950226592,376.95022659200004,LAE,234
418,377010965696,377.010965696,MAE,41
419,377048344672,377.04834467200004,SAE,7
420,377082833408,377.082833408,MAE,87
421,377120178464,377.12017846400005,LAE,254
422,377152603040,377.15260304000003,MAE,68
423,377188602240,377.18860224,SAE,24
424,377227828480,377.22782848,MAE,56
425,377262703136,377.262703136,LAE,258
426,377299921408,377.29992140800005,MAE,96
427,377361329632,377.36132963200004,SAE,56
428,377398015840,377.39801584,MAE,92
429,377433352256,377.43335225600003,LAE,223
430,377468097216,377.46809721600005,MAE,131
431,377505506400,377.5055064,SAE,77
432,377552257920,377.55225792000005,MAE,155
433,377585255680,377.58525568000005,LAE,230
434,377621507936,377.621507936,MAE,51
435,377659589344,377.65958934400004,SAE,64
436,377694963424,377.69496342400004,MAE,100
437,377732837728,377.73283772800005,LAE,196
438,377767394368,377.767394368,MAE,77
439,377801155648,377.801155648,SAE,27
440,377837888736,377.837888736,MAE,162
441,377870098464,377.870098464,LAE,118
442,377907287680,377.90728768,MAE,100
443,377945598944,377.94559894400004,SAE,28
444,377985818944,377.985818944,MAE,109
445,378025936640,378.02593664,LAE,117
446,378062713248,378.062713248,MAE,166
447,378100168480,378.10016848000004,SAE,10
448,378136518592,378.136518592,MAE,141
449,378179617792,378.17961779200004,LAE,103
450,378212172416,378.21217241600004,MAE,47
451,378250262144,378.25026214400003,SAE,50
452,378287900896,378.287900896,MAE,143
453,378320797856,378.320797856,LAE,140
454,378356612320,378.35661232,MAE,153
455,378394888416,378.394888416,SAE,55
456,378429219872,378.42921987200003,MAE,146
457,378494601024,378.494601024,LAE,73
458,378527468672,378.527468672,MAE,137
459,378568854336,378.568854336,SAE,104
460,378603362880,378.60336288,MAE,209
461,378640871648,378.64087164800003,LAE,30
462,378679131360,378.67913136000004,MAE,156
463,378713311808,378.713311808,SAE,147
464,378746549088,378.74654908800005,MAE,176
465,378780895040,378.78089504,LAE,44
466,378816667200,378.81666720000004,MAE,166
467,378853046432,378.85304643200004,SAE,199
468,378894702624,378.89470262400005,MAE,166
469,378927326720,378.92732672,LAE,41
470,378965217120,378.96521712000003,MAE,211
471,379006913536,379.006913536,SAE,98
472,379043727168,379.04372716800003,MAE,188
473,379080623168,379.08062316800005,LAE,37
474,379124273280,379.12427328,MAE,162
475,379189490720,379.18949072000004,SAE,169
476,379225605184,379.225605184,MAE,138
477,379266243616,379.266243616,LAE,12
478,379311964512,379.31196451200003,MAE,185
479,379349362176,379.349362176,SAE,114
480,379386930240,379.38693024,MAE,148
481,379425354688,379.425354688,LAE,17
482,379461688320,379.46168832,MAE,159
483,379498776256,379.49877625600004,SAE,155
484,379540214272,379.540214272,MAE,174
485,379576789952,379.576789952,LAE,31
486,379639785408,379.639785408,MAE,172
487,379671503776,379.671503776,SAE,97
488,379712136256,379.712136256,MAE,175
489,379775796832,379.775796832,LAE,17
490,379814108896,379.81410889600005,MAE,138
491,379851629600,379.8516296,SAE,135
492,379887575808,379.887575808,MAE,112
493,379930164224,379.930164224,LAE,21
494,379965241120,379.96524112000003,MAE,158
495,380000110208,380.000110208,SAE,142
496,380035470592,380.035470592,MAE,171
497,380079554208,380.07955420800005,LAE,23
498,380111134688,380.11113468800005,MAE,132
499,380177253984,380.177253984,SAE,63
500,380208790528,380.208790528,MAE,172
501,380245074848,380.245074848,LAE,34
502,380280470080,380.28047008000004,MAE,188
503,380328816000,380.328816,SAE,101
504,380364615648,380.36461564800004,MAE,172
505,380402330144,380.402330144,LAE,30
506,380437847840,380.43784784,MAE,188
507,380500777856,380.500777856,SAE,75
508,380532447552,380.532447552,MAE,194
509,380576746944,380.57674694400004,LAE,57
510,380636374496,380.63637449600003,MAE,143
511,380669116096,380.66911609600004,SAE,96
512,380705261600,380.70526160000003,MAE,185
513,380738729152,380.738729152,LAE,83
514,380774445952,380.774445952,MAE,49
515,380810408576,380.81040857600004,SAE,84
516,380844600864,380.84460086400003,MAE,133
517,380887386368,380.887386368,LAE,74
518,380921682240,380.92168224,MAE,133
519,380988492256,380.98849225600003,SAE,81
520,381046193056,381.04619305600005,MAE,49
521,381077836992,381.077836992,LAE,159
522,381117093728,381.11709372800004,MAE,108
523,381148865952,381.14886595200005,SAE,71
524,381182544288,381.18254428800003,MAE,119
525,381221691040,381.22169104,LAE,155
526,381260159520,381.26015952,MAE,87
527,381325232832,381.32523283200004,SAE,54
528,381360165888,381.36016588800004,MAE,72
529,381408280352,381.408280352,LAE,156
530,381445529056,381.445529056,MAE,155
531,381485407968,381.485407968,SAE,63
532,381528364736,381.528364736,MAE,189
533,381560044096,381.560044096,LAE,85
534,381600841760,381.60084176000004,MAE,136
535,381641011008,381.641011008,SAE,76
536,381676712000,381.676712,MAE,83
537,381710708256,381.71070825600003,LAE,57
538,381751513728,381.751513728,MAE,106
539,381794407744,381.794407744,SAE,27
540,381832636896,381.832636896,MAE,156
541,381869481984,381.869481984,LAE,73
542,381918358784,381.918358784,MAE,151
543,381954859264,381.95485926400005,SAE,72
544,381992950272,381.99295027200003,MAE,114
545,382025177408,382.02517740800005,LAE,242
546,382063184352,382.063184352,MAE,147
547,382105303520,382.10530352,SAE,65
548,382138488128,382.138488128,MAE,140
549,382173811680,382.17381168000003,LAE,178
550,382208164384,382.20816438400004,MAE,134
551,382243047872,382.24304787200003,SAE,52
552,382279134112,382.279134112,MAE,50
553,382313428832,382.313428832,LAE,166
554,382350503232,382.35050323200005,MAE,72
555,382389131712,382.38913171200005,SAE,100
556,382420788960,382.42078896000004,MAE,96
557,382485162848,382.485162848,LAE,152
558,382517165472,382.51716547200004,MAE,90
559,382554784384,382.554784384,SAE,56
560,382591944736,382.591944736,MAE,84
561,382625471360,382.62547136,LAE,248
562,382659730688,382.659730688,MAE,53
563,382698200352,382.698200352,SAE,74
564,382739047584,382.73904758400005,MAE,99
565,382775021536,382.775021536,LAE,202
566,382815033984,382.815033984,MAE,94
567,382851204064,382.851204064,SAE,0
568,382888588896,382.88858889600004,MAE,119
569,382926235968,382.926235968,LAE,220
570,382966281088,382.966281088,MAE,30
571,383004732320,383.00473232,SAE,0
572,383049956864,383.049956864,MAE,68
573,383091066720,383.09106672,LAE,206
574,383123952320,383.12395232,MAE,35
575,383160080928,383.160080928,SAE,2
576,383197238752,383.19723875200003,MAE,48
577,383235021856,383.235021856,LAE,150
578,383270447136,383.27044713600003,MAE,31
579,383311535776,383.311535776,SAE,11
580,383347336640,383.34733664000004,MAE,96
581,383380613088,383.380613088,LAE,221
582,383418480448,383.418480448,MAE,114
583,383460666368,383.46066636800003,SAE,27
584,383499907840,383.49990784000005,MAE,91
585,383537190080,383.53719008,LAE,250
586,383578021120,383.57802112,MAE,95
587,383611489600,383.6114896,SAE,22
588,383673351296,383.673351296,MAE,48
589,383732999072,383.73299907200004,LAE,225
590,383769327040,383.76932704,MAE,66
591,383805730688,383.80573068800004,SAE,27
592,383855499904,383.855499904,MAE,44
593,383905223904,383.905223904,LAE,326
594,383950412576,383.950412576,MAE,35
595,383982359424,383.98235942400004,SAE,17
596,384023567136,384.023567136,MAE,78
597,384058284000,384.058284,LAE,345
598,384095986400,384.0959864,MAE,76
599,384130023168,384.13002316800004,SAE,77
600,384191431616,384.19143161600005,MAE,96
601,384228043168,384.228043168,LAE,291
602,384261214080,384.26121408,MAE,127
603,384297686048,384.297686048,SAE,111
604,384329190400,384.3291904,MAE,265
605,384375935232,384.375935232,LAE,375
606,384417843616,384.417843616,MAE,393
607,384496803104,384.49680310400004,SAE,46
608,384529796928,384.529796928,MAE,402
609,384565702976,384.565702976,LAE,128
610,384628357248,384.62835724800004,MAE,360
611,384663760608,384.663760608,SAE,63
612,384695556576,384.695556576,MAE,374
613,384732462080,384.73246208,LAE,58
614,384766167776,384.76616777600003,MAE,334
615,384799806464,384.799806464,SAE,34
616,384835401088,384.835401088,MAE,397
617,384874536960,384.87453696,LAE,40
618,384906502752,384.90650275200005,MAE,362
619,384940204288,384.940204288,SAE,57
620,384982435360,384.98243536,MAE,350
621,385018911360,385.01891136,LAE,96
622,385054454752,385.054454752,MAE,397
623,385122972320,385.12297232000003,SAE,23
624,385155889792,385.15588979200004,MAE,313
625,385210757408,385.210757408,LAE,272
626,385249223648,385.249223648,MAE,377
627,385283388960,385.28338896,SAE,46
628,385320673312,385.320673312,MAE,375
629,385356568992,385.356568992,LAE,330
630,385398455680,385.39845568000004,MAE,373
631,385430804032,385.430804032,SAE,18
632,385472102080,385.47210208,MAE,354
633,385509127168,385.509127168,LAE,320
634,385543711616,385.543711616,MAE,308
635,385579534336,385.57953433600005,SAE,41
636,385612358208,385.61235820800005,MAE,323
637,385648280288,385.648280288,LAE,294
638,385681471520,385.68147152,MAE,331
639,385727054848,385.727054848,SAE,63
640,385761448128,385.76144812800004,MAE,319
641,385800910112,385.800910112,LAE,341
642,385841706624,385.84170662400004,MAE,329
643,385877512608,385.877512608,SAE,285
644,385912685824,385.91268582400005,MAE,353
645,385962450720,385.96245072000005,LAE,289
646,385997793504,385.997793504,MAE,337
647,386034046240,386.03404624,SAE,362
648,386073776192,386.073776192,MAE,329
649,386106095936,386.10609593600003,LAE,307
650,386145375104,386.14537510400004,MAE,348
651,386184807648,386.184807648,SAE,326
652,386221573120,386.22157312,MAE,379
653,386258626240,386.25862624,LAE,311
654,386301371520,386.30137152000003,MAE,378
655,386341166304,386.341166304,SAE,358
656,386376656064,386.37665606400003,MAE,383
657,386441742240,386.44174224,LAE,107
658,386476571808,386.476571808,MAE,387
659,386510962240,386.51096224,SAE,399
660,386545939136,386.545939136,MAE,360
661,386581747616,386.58174761600003,LAE,146
662,386640840096,386.64084009600003,MAE,342
663,386674419168,386.67441916800004,SAE,485
664,386710547200,386.7105472,MAE,397
665,386745228672,386.745228672,LAE,215
666,386777677888,386.777677888,MAE,452
667,386812730080,386.81273008000005,SAE,178
668,386846244256,386.84624425600003,MAE,456
669,386878778912,386.87877891200003,LAE,218
670,386921728160,386.92172816000004,MAE,475
671,386960993440,386.96099344000004,SAE,234
672,386997467776,386.997467776,MAE,446
673,387057397184,387.057397184,LAE,314
674,387089532672,387.089532672,MAE,449
675,387131628992,387.131628992,SAE,280
676,387169892832,387.169892832,MAE,360
677,387237802080,387.23780208000005,MAE,291
678,387273294464,387.273294464,SAE,344
679,387307307904,387.307307904,MAE,217
680,387373759424,387.373759424,MAE,235
681,387407705056,387.407705056,SAE,329
682,387443483264,387.443483264,MAE,287
683,387513003328,387.513003328,MAE,275
684,387552645024,387.552645024,SAE,344
685,387587451808,387.587451808,MAE,360
686,387657520288,387.657520288,MAE,367
687,387691007520,387.69100752,SAE,278
688,387734695520,387.73469552,MAE,422
689,387808997152,387.808997152,MAE,419
690,387847609920,387.84760992,SAE,331
691,387879824160,387.87982416,MAE,426
692,387945866592,387.945866592,LAE,205
693,387977871648,387.977871648,MAE,372
694,388013782944,388.013782944,SAE,264
695,388047125920,388.04712592000004,MAE,312
696,388120440384,388.120440384,MAE,295
697,388153608960,388.15360896000004,SAE,287
